t= 2.027025E-14	r= 5.294450E-08	r'= 2.196101E+06	r''= 5.408433E+22	th= 6.696476E-02	th'= 1.651639E+15
t= 2.029050E-14	r= 5.307765E-08	r'= 4.375117E+06	r''= 5.345282E+22	th= 1.337069E-01	th'= 1.643363E+15
t= 2.031075E-14	r= 5.329842E-08	r'= 6.520386E+06	r''= 5.242207E+22	th= 2.000055E-01	th'= 1.629777E+15
t= 2.033100E-14	r= 5.360513E-08	r'= 8.616331E+06	r''= 5.102315E+22	th= 2.656512E-01	th'= 1.611181E+15
t= 2.035125E-14	r= 5.399549E-08	r'= 1.064884E+07	r''= 4.929660E+22	th= 3.304488E-01	th'= 1.587969E+15
t= 2.037150E-14	r= 5.446666E-08	r'= 1.260557E+07	r''= 4.728983E+22	th= 3.942207E-01	th'= 1.560614E+15
t= 2.039175E-14	r= 5.501537E-08	r'= 1.447623E+07	r''= 4.505442E+22	th= 4.568097E-01	th'= 1.529639E+15
t= 2.041200E-14	r= 5.563796E-08	r'= 1.625261E+07	r''= 4.264339E+22	th= 5.180801E-01	th'= 1.495597E+15
t= 2.043225E-14	r= 5.633048E-08	r'= 1.792868E+07	r''= 4.010875E+22	th= 5.779193E-01	th'= 1.459050E+15
t= 2.045250E-14	r= 5.708877E-08	r'= 1.950042E+07	r''= 3.749952E+22	th= 6.362368E-01	th'= 1.420547E+15
t= 2.047275E-14	r= 5.790857E-08	r'= 2.096574E+07	r''= 3.486025E+22	th= 6.929643E-01	th'= 1.380611E+15
t= 2.049300E-14	r= 5.878555E-08	r'= 2.232423E+07	r''= 3.223001E+22	th= 7.480536E-01	th'= 1.339726E+15
t= 2.051325E-14	r= 5.971541E-08	r'= 2.357694E+07	r''= 2.964190E+22	th= 8.014752E-01	th'= 1.298328E+15
t= 2.053350E-14	r= 6.069389E-08	r'= 2.472616E+07	r''= 2.712298E+22	th= 8.532165E-01	th'= 1.256803E+15
t= 2.055375E-14	r= 6.171687E-08	r'= 2.577513E+07	r''= 2.469446E+22	th= 9.032791E-01	th'= 1.215484E+15
t= 2.057400E-14	r= 6.278037E-08	r'= 2.672785E+07	r''= 2.237218E+22	th= 9.516774E-01	th'= 1.174653E+15
t= 2.059425E-14	r= 6.388059E-08	r'= 2.758886E+07	r''= 2.016721E+22	th= 9.984358E-01	th'= 1.134539E+15
t= 2.061450E-14	r= 6.501390E-08	r'= 2.836307E+07	r''= 1.808643E+22	th= 1.043587E+00	th'= 1.095330E+15
t= 2.063475E-14	r= 6.617689E-08	r'= 2.905559E+07	r''= 1.613330E+22	th= 1.087172E+00	th'= 1.057169E+15
t= 2.065500E-14	r= 6.736637E-08	r'= 2.967161E+07	r''= 1.430842E+22	th= 1.129234E+00	th'= 1.020166E+15
t= 2.067525E-14	r= 6.857933E-08	r'= 3.021629E+07	r''= 1.261019E+22	th= 1.169822E+00	th'= 9.843981E+14
t= 2.069550E-14	r= 6.981299E-08	r'= 3.069470E+07	r''= 1.103526E+22	th= 1.208987E+00	th'= 9.499150E+14
t= 2.071575E-14	r= 7.106477E-08	r'= 3.111175E+07	r''= 9.579037E+21	th= 1.246783E+00	th'= 9.167449E+14
t= 2.073600E-14	r= 7.233228E-08	r'= 3.147213E+07	r''= 8.236053E+21	th= 1.283262E+00	th'= 8.848974E+14
t= 2.075625E-14	r= 7.361331E-08	r'= 3.178031E+07	r''= 7.000261E+21	th= 1.318477E+00	th'= 8.543672E+14
t= 2.077650E-14	r= 7.490584E-08	r'= 3.204051E+07	r''= 5.865296E+21	th= 1.352483E+00	th'= 8.251367E+14
t= 2.079675E-14	r= 7.620800E-08	r'= 3.225668E+07	r''= 4.824670E+21	th= 1.385331E+00	th'= 7.971795E+14
t= 2.081700E-14	r= 7.751808E-08	r'= 3.243250E+07	r''= 3.871923E+21	th= 1.417071E+00	th'= 7.704619E+14
t= 2.083725E-14	r= 7.883453E-08	r'= 3.257141E+07	r''= 3.000732E+21	th= 1.447754E+00	th'= 7.449451E+14
t= 2.085750E-14	r= 8.015591E-08	r'= 3.267658E+07	r''= 2.204995E+21	th= 1.477427E+00	th'= 7.205865E+14
t= 2.087775E-14	r= 8.148092E-08	r'= 3.275095E+07	r''= 1.478886E+21	th= 1.506137E+00	th'= 6.973413E+14
t= 2.089800E-14	r= 8.280836E-08	r'= 3.279723E+07	r''= 8.168882E+20	th= 1.533926E+00	th'= 6.751633E+14
t= 2.091825E-14	r= 8.413715E-08	r'= 3.281792E+07	r''= 2.138173E+20	th= 1.560839E+00	th'= 6.540058E+14
t= 2.093850E-14	r= 8.546629E-08	r'= 3.281528E+07	r''= -3.351734E+20	th= 1.586914E+00	th'= 6.338222E+14
t= 2.095875E-14	r= 8.679490E-08	r'= 3.279144E+07	r''= -8.345922E+20	th= 1.612191E+00	th'= 6.145663E+14
t= 2.097900E-14	r= 8.812214E-08	r'= 3.274829E+07	r''= -1.288617E+21	th= 1.636706E+00	th'= 5.961933E+14
t= 2.099925E-14	r= 8.944727E-08	r'= 3.268762E+07	r''= -1.701106E+21	th= 1.660494E+00	th'= 5.786593E+14
t= 2.101950E-14	r= 9.076962E-08	r'= 3.261102E+07	r''= -2.075614E+21	th= 1.683588E+00	th'= 5.619221E+14
