t= 2.027025E-14	r= 1.247267E-08	r'= 6.517161E+07	r''= 1.133847E+24	th= 7.075653E-01	th'= 1.488033E+16
t= 2.029050E-14	r= 1.578537E-08	r'= 9.309184E+07	r''= 3.460481E+23	th= 1.190187E+00	th'= 9.290150E+15
t= 2.031075E-14	r= 1.973471E-08	r'= 9.995587E+07	r''= 4.696618E+22	th= 1.491923E+00	th'= 5.943878E+15
t= 2.033100E-14	r= 2.378734E-08	r'= 9.953707E+07	r''= -4.943153E+22	th= 1.691610E+00	th'= 4.091086E+15
t= 2.035125E-14	r= 2.776760E-08	r'= 9.682948E+07	r''= -7.815615E+22	th= 1.833448E+00	th'= 3.002293E+15
t= 2.037150E-14	r= 3.162266E-08	r'= 9.350685E+07	r''= -8.378825E+22	th= 1.940137E+00	th'= 2.314903E+15
t= 2.039175E-14	r= 3.534132E-08	r'= 9.014772E+07	r''= -8.135891E+22	th= 2.023969E+00	th'= 1.853376E+15
t= 2.041200E-14	r= 3.892688E-08	r'= 8.695124E+07	r''= -7.627802E+22	th= 2.092078E+00	th'= 1.527670E+15
t= 2.043225E-14	r= 4.238739E-08	r'= 8.397693E+07	r''= -7.058682E+22	th= 2.148869E+00	th'= 1.288413E+15
t= 2.045250E-14	r= 4.573211E-08	r'= 8.123127E+07	r''= -6.506027E+22	th= 2.197213E+00	th'= 1.106843E+15
t= 2.047275E-14	r= 4.897004E-08	r'= 7.870104E+07	r''= -5.997183E+22	th= 2.239061E+00	th'= 9.653111E+14
t= 2.049300E-14	r= 5.210954E-08	r'= 7.636666E+07	r''= -5.539105E+22	th= 2.275790E+00	th'= 8.524987E+14
t= 2.051325E-14	r= 5.515811E-08	r'= 7.420767E+07	r''= -5.130547E+22	th= 2.308399E+00	th'= 7.608679E+14
t= 2.053350E-14	r= 5.812247E-08	r'= 7.220481E+07	r''= -4.767227E+22	th= 2.337635E+00	th'= 6.852355E+14
t= 2.055375E-14	r= 6.100857E-08	r'= 7.034079E+07	r''= -4.444031E+22	th= 2.364069E+00	th'= 6.219366E+14
t= 2.057400E-14	r= 6.382174E-08	r'= 6.860040E+07	r''= -4.155943E+22	th= 2.388143E+00	th'= 5.683168E+14
t= 2.059425E-14	r= 6.656670E-08	r'= 6.697036E+07	r''= -3.898394E+22	th= 2.410207E+00	th'= 5.224127E+14
t= 2.061450E-14	r= 6.924767E-08	r'= 6.543912E+07	r''= -3.667373E+22	th= 2.430542E+00	th'= 4.827444E+14
t= 2.063475E-14	r= 7.186847E-08	r'= 6.399667E+07	r''= -3.459411E+22	th= 2.449378E+00	th'= 4.481784E+14
t= 2.065500E-14	r= 7.443249E-08	r'= 6.263428E+07	r''= -3.271540E+22	th= 2.466901E+00	th'= 4.178328E+14
t= 2.067525E-14	r= 7.694282E-08	r'= 6.134435E+07	r''= -3.101222E+22	th= 2.483270E+00	th'= 3.910131E+14
t= 2.069550E-14	r= 7.940227E-08	r'= 6.012022E+07	r''= -2.946296E+22	th= 2.498614E+00	th'= 3.671654E+14
t= 2.071575E-14	r= 8.181337E-08	r'= 5.895603E+07	r''= -2.804909E+22	th= 2.513044E+00	th'= 3.458429E+14
t= 2.073600E-14	r= 8.417845E-08	r'= 5.784663E+07	r''= -2.675480E+22	th= 2.526656E+00	th'= 3.266823E+14
t= 2.075625E-14	r= 8.649962E-08	r'= 5.678746E+07	r''= -2.556646E+22	th= 2.539531E+00	th'= 3.093848E+14
