t= 2.027025E-14	r= 2.668598E-08	r'= 1.158109E+07	r''= 2.788255E+23	th= 1.998181E-01	th'= 4.875869E+15
t= 2.029050E-14	r= 2.737677E-08	r'= 2.233483E+07	r''= 2.497217E+23	th= 3.928269E-01	th'= 4.632915E+15
t= 2.031075E-14	r= 2.847570E-08	r'= 3.166321E+07	r''= 2.098592E+23	th= 5.736271E-01	th'= 4.282234E+15
t= 2.033100E-14	r= 2.991849E-08	r'= 3.929819E+07	r''= 1.672957E+23	th= 7.389862E-01	th'= 3.879180E+15
t= 2.035125E-14	r= 3.163613E-08	r'= 4.525648E+07	r''= 1.277613E+23	th= 8.877578E-01	th'= 3.469386E+15
t= 2.037150E-14	r= 3.356414E-08	r'= 4.972678E+07	r''= 9.407216E+22	th= 1.020320E+00	th'= 3.082253E+15
t= 2.039175E-14	r= 3.564736E-08	r'= 5.296455E+07	r''= 6.687828E+22	th= 1.137930E+00	th'= 2.732528E+15
t= 2.041200E-14	r= 3.784109E-08	r'= 5.522474E+07	r''= 4.565579E+22	th= 1.242225E+00	th'= 2.424890E+15
t= 2.043225E-14	r= 4.011039E-08	r'= 5.673017E+07	r''= 2.943129E+22	th= 1.334901E+00	th'= 2.158269E+15
t= 2.045250E-14	r= 4.242851E-08	r'= 5.766227E+07	r''= 1.718004E+22	th= 1.417548E+00	th'= 1.928873E+15
t= 2.047275E-14	r= 4.477523E-08	r'= 5.816311E+07	r''= 7.997454E+21	th= 1.491579E+00	th'= 1.731983E+15
t= 2.049300E-14	r= 4.713538E-08	r'= 5.834149E+07	r''= 1.147880E+21	th= 1.558214E+00	th'= 1.562878E+15
t= 2.051325E-14	r= 4.949766E-08	r'= 5.827979E+07	r''= -3.941788E+21	th= 1.618489E+00	th'= 1.417261E+15
t= 2.053350E-14	r= 5.185365E-08	r'= 5.804003E+07	r''= -7.707846E+21	th= 1.673279E+00	th'= 1.291399E+15
t= 2.055375E-14	r= 5.419713E-08	r'= 5.766886E+07	r''= -1.047855E+22	th= 1.723317E+00	th'= 1.182133E+15
t= 2.057400E-14	r= 5.652353E-08	r'= 5.720137E+07	r''= -1.249961E+22	th= 1.769220E+00	th'= 1.086827E+15
t= 2.059425E-14	r= 5.882950E-08	r'= 5.666401E+07	r''= -1.395479E+22	th= 1.811508E+00	th'= 1.003295E+15
t= 2.061450E-14	r= 6.111264E-08	r'= 5.607680E+07	r''= -1.498170E+22	th= 1.850621E+00	th'= 9.297299E+14
