t= 2.120175E-14	r= 1.374238E-07	r'= 4.147654E+07	r''= -1.289331E+22	th= 2.947047E+00	th'= 6.128769E+13
t= 2.122200E-14	r= 1.390931E-07	r'= 4.096052E+07	r''= -1.259174E+22	th= 2.949500E+00	th'= 5.982544E+13
t= 2.124225E-14	r= 1.407418E-07	r'= 4.045642E+07	r''= -1.230417E+22	th= 2.951894E+00	th'= 5.843206E+13
t= 2.126250E-14	r= 1.423702E-07	r'= 3.996370E+07	r''= -1.202967E+22	th= 2.954234E+00	th'= 5.710298E+13
t= 2.128275E-14	r= 1.439790E-07	r'= 3.948185E+07	r''= -1.176742E+22	th= 2.956520E+00	th'= 5.583404E+13
t= 2.130300E-14	r= 1.455684E-07	r'= 3.901039E+07	r''= -1.151664E+22	th= 2.958757E+00	th'= 5.462141E+13
t= 2.132325E-14	r= 1.471389E-07	r'= 3.854886E+07	r''= -1.127664E+22	th= 2.960945E+00	th'= 5.346159E+13
t= 2.134350E-14	r= 1.486910E-07	r'= 3.809684E+07	r''= -1.104675E+22	th= 2.963088E+00	th'= 5.235134E+13
t= 2.136375E-14	r= 1.502249E-07	r'= 3.765394E+07	r''= -1.082639E+22	th= 2.965186E+00	th'= 5.128770E+13
t= 2.138400E-14	r= 1.517411E-07	r'= 3.721978E+07	r''= -1.061499E+22	th= 2.967243E+00	th'= 5.026791E+13
t= 2.140425E-14	r= 1.532398E-07	r'= 3.679401E+07	r''= -1.041204E+22	th= 2.969259E+00	th'= 4.928943E+13
t= 2.142450E-14	r= 1.547215E-07	r'= 3.637630E+07	r''= -1.021708E+22	th= 2.971236E+00	th'= 4.834992E+13
t= 2.144475E-14	r= 1.561864E-07	r'= 3.596633E+07	r''= -1.002965E+22	th= 2.973176E+00	th'= 4.744720E+13
t= 2.146500E-14	r= 1.576349E-07	r'= 3.556380E+07	r''= -9.849346E+21	th= 2.975079E+00	th'= 4.657925E+13
t= 2.148525E-14	r= 1.590672E-07	r'= 3.516844E+07	r''= -9.675794E+21	th= 2.976949E+00	th'= 4.574419E+13
t= 2.150550E-14	r= 1.604836E-07	r'= 3.477998E+07	r''= -9.508636E+21	th= 2.978785E+00	th'= 4.494027E+13
t= 2.152575E-14	r= 1.618844E-07	r'= 3.439816E+07	r''= -9.347542E+21	th= 2.980589E+00	th'= 4.416587E+13
t= 2.154600E-14	r= 1.632699E-07	r'= 3.402275E+07	r''= -9.192203E+21	th= 2.982363E+00	th'= 4.341947E+13
t= 2.156625E-14	r= 1.646404E-07	r'= 3.365352E+07	r''= -9.042333E+21	th= 2.984107E+00	th'= 4.269966E+13
t= 2.158650E-14	r= 1.659960E-07	r'= 3.329025E+07	r''= -8.897660E+21	th= 2.985822E+00	th'= 4.200510E+13
t= 2.160675E-14	r= 1.673370E-07	r'= 3.293274E+07	r''= -8.757934E+21	th= 2.987510E+00	th'= 4.133456E+13
t= 2.162700E-14	r= 1.686636E-07	r'= 3.258079E+07	r''= -8.622918E+21	th= 2.989170E+00	th'= 4.068688E+13
t= 2.164725E-14	r= 1.699761E-07	r'= 3.223422E+07	r''= -8.492389E+21	th= 2.990805E+00	th'= 4.006097E+13
t= 2.166750E-14	r= 1.712746E-07	r'= 3.189285E+07	r''= -8.366140E+21	th= 2.992416E+00	th'= 3.945581E+13
t= 2.168775E-14	r= 1.725595E-07	r'= 3.155651E+07	r''= -8.243976E+21	th= 2.994002E+00	th'= 3.887044E+13
t= 2.170800E-14	r= 1.738308E-07	r'= 3.122504E+07	r''= -8.125711E+21	th= 2.995564E+00	th'= 3.830396E+13
t= 2.172825E-14	r= 1.750888E-07	r'= 3.089828E+07	r''= -8.011173E+21	th= 2.997105E+00	th'= 3.775552E+13
t= 2.174850E-14	r= 1.763336E-07	r'= 3.057608E+07	r''= -7.900198E+21	th= 2.998623E+00	th'= 3.722433E+13
t= 2.176875E-14	r= 1.775655E-07	r'= 3.025831E+07	r''= -7.792633E+21	th= 3.000120E+00	th'= 3.670962E+13
t= 2.178900E-14	r= 1.787846E-07	r'= 2.994484E+07	r''= -7.688332E+21	th= 3.001597E+00	th'= 3.621070E+13
t= 2.180925E-14	r= 1.799911E-07	r'= 2.963552E+07	r''= -7.587157E+21	th= 3.003053E+00	th'= 3.572688E+13
t= 2.182950E-14	r= 1.811851E-07	r'= 2.933023E+07	r''= -7.488979E+21	th= 3.004491E+00	th'= 3.525754E+13
t= 2.184975E-14	r= 1.823669E-07	r'= 2.902887E+07	r''= -7.393675E+21	th= 3.005909E+00	th'= 3.480207E+13
t= 2.187000E-14	r= 1.835365E-07	r'= 2.873131E+07	r''= -7.301129E+21	th= 3.007310E+00	th'= 3.435992E+13
t= 2.189025E-14	r= 1.846942E-07	r'= 2.843744E+07	r''= -7.211231E+21	th= 3.008693E+00	th'= 3.393053E+13
t= 2.191050E-14	r= 1.858400E-07	r'= 2.814717E+07	r''= -7.123876E+21	th= 3.010058E+00	th'= 3.351342E+13
t= 2.193075E-14	r= 1.869741E-07	r'= 2.786038E+07	r''= -7.038965E+21	th= 3.011407E+00	th'= 3.310808E+13
t= 2.195100E-14	r= 1.880967E-07	r'= 2.757698E+07	r''= -6.956405E+21	th= 3.012740E+00	th'= 3.271407E+13
t= 2.197125E-14	r= 1.892079E-07	r'= 2.729688E+07	r''= -6.876106E+21	th= 3.014057E+00	th'= 3.233095E+13
t= 2.199150E-14	r= 1.903078E-07	r'= 2.701998E+07	r''= -6.797983E+21	th= 3.015359E+00	th'= 3.195831E+13
t= 2.201175E-14	r= 1.913966E-07	r'= 2.674621E+07	r''= -6.721955E+21	th= 3.016646E+00	th'= 3.159575E+13
t= 2.203200E-14	r= 1.924743E-07	r'= 2.647548E+07	r''= -6.647947E+21	th= 3.017919E+00	th'= 3.124291E+13
t= 2.205225E-14	r= 1.935411E-07	r'= 2.620770E+07	r''= -6.575884E+21	th= 3.019177E+00	th'= 3.089943E+13
t= 2.207250E-14	r= 1.945972E-07	r'= 2.594281E+07	r''= -6.505698E+21	th= 3.020422E+00	th'= 3.056497E+13
t= 2.209275E-14	r= 1.956425E-07	r'= 2.568072E+07	r''= -6.437322E+21	th= 3.021653E+00	th'= 3.023921E+13
t= 2.211300E-14	r= 1.966773E-07	r'= 2.542136E+07	r''= -6.370692E+21	th= 3.022871E+00	th'= 2.992184E+13
t= 2.213325E-14	r= 1.977017E-07	r'= 2.516467E+07	r''= -6.305749E+21	th= 3.024077E+00	th'= 2.961258E+13
t= 2.215350E-14	r= 1.987157E-07	r'= 2.491057E+07	r''= -6.242434E+21	th= 3.025270E+00	th'= 2.931113E+13
t= 2.217375E-14	r= 1.997195E-07	r'= 2.465901E+07	r''= -6.180693E+21	th= 3.026451E+00	th'= 2.901724E+13
t= 2.219400E-14	r= 2.007131E-07	r'= 2.440991E+07	r''= -6.120473E+21	th= 3.027620E+00	th'= 2.873065E+13
t= 2.221425E-14	r= 2.016967E-07	r'= 2.416323E+07	r''= -6.061724E+21	th= 3.028778E+00	th'= 2.845112E+13
t= 2.223450E-14	r= 2.026704E-07	r'= 2.391890E+07	r''= -6.004398E+21	th= 3.029925E+00	th'= 2.817841E+13
t= 2.225475E-14	r= 2.036342E-07	r'= 2.367686E+07	r''= -5.948449E+21	th= 3.031061E+00	th'= 2.791230E+13
t= 2.227500E-14	r= 2.045882E-07	r'= 2.343705E+07	r''= -5.893833E+21	th= 3.032186E+00	th'= 2.765258E+13
t= 2.229525E-14	r= 2.055326E-07	r'= 2.319944E+07	r''= -5.840508E+21	th= 3.033301E+00	th'= 2.739905E+13
t= 2.231550E-14	r= 2.064674E-07	r'= 2.296396E+07	r''= -5.788433E+21	th= 3.034405E+00	th'= 2.715151E+13
t= 2.233575E-14	r= 2.073927E-07	r'= 2.273056E+07	r''= -5.737570E+21	th= 3.035500E+00	th'= 2.690977E+13
t= 2.235600E-14	r= 2.083086E-07	r'= 2.249920E+07	r''= -5.687881E+21	th= 3.036585E+00	th'= 2.667365E+13
t= 2.237625E-14	r= 2.092152E-07	r'= 2.226982E+07	r''= -5.639331E+21	th= 3.037661E+00	th'= 2.644299E+13
t= 2.239650E-14	r= 2.101125E-07	r'= 2.204240E+07	r''= -5.591886E+21	th= 3.038727E+00	th'= 2.621762E+13
t= 2.241675E-14	r= 2.110006E-07	r'= 2.181687E+07	r''= -5.545513E+21	th= 3.039784E+00	th'= 2.599737E+13
t= 2.243700E-14	r= 2.118797E-07	r'= 2.159319E+07	r''= -5.500181E+21	th= 3.040833E+00	th'= 2.578210E+13
t= 2.245725E-14	r= 2.127497E-07	r'= 2.137134E+07	r''= -5.455859E+21	th= 3.041873E+00	th'= 2.557166E+13
t= 2.247750E-14	r= 2.136108E-07	r'= 2.115126E+07	r''= -5.412518E+21	th= 3.042904E+00	th'= 2.536592E+13
t= 2.249775E-14	r= 2.144630E-07	r'= 2.093291E+07	r''= -5.370131E+21	th= 3.043927E+00	th'= 2.516473E+13
t= 2.251800E-14	r= 2.153064E-07	r'= 2.071626E+07	r''= -5.328669E+21	th= 3.044943E+00	th'= 2.496797E+13
t= 2.253825E-14	r= 2.161410E-07	r'= 2.050128E+07	r''= -5.288109E+21	th= 3.045950E+00	th'= 2.477551E+13
t= 2.255850E-14	r= 2.169670E-07	r'= 2.028792E+07	r''= -5.248424E+21	th= 3.046949E+00	th'= 2.458723E+13
t= 2.257875E-14	r= 2.177844E-07	r'= 2.007614E+07	r''= -5.209591E+21	th= 3.047941E+00	th'= 2.440302E+13
t= 2.259900E-14	r= 2.185932E-07	r'= 1.986593E+07	r''= -5.171586E+21	th= 3.048926E+00	th'= 2.422276E+13
t= 2.261925E-14	r= 2.193935E-07	r'= 1.965723E+07	r''= -5.134388E+21	th= 3.049904E+00	th'= 2.404636E+13
t= 2.263950E-14	r= 2.201854E-07	r'= 1.945003E+07	r''= -5.097975E+21	th= 3.050874E+00	th'= 2.387370E+13
t= 2.265975E-14	r= 2.209690E-07	r'= 1.924429E+07	r''= -5.062326E+21	th= 3.051837E+00	th'= 2.370469E+13
t= 2.268000E-14	r= 2.217443E-07	r'= 1.903997E+07	r''= -5.027421E+21	th= 3.052794E+00	th'= 2.353923E+13
t= 2.270025E-14	r= 2.225113E-07	r'= 1.883706E+07	r''= -4.993242E+21	th= 3.053744E+00	th'= 2.337722E+13
t= 2.272050E-14	r= 2.232701E-07	r'= 1.863551E+07	r''= -4.959770E+21	th= 3.054688E+00	th'= 2.321859E+13
t= 2.274075E-14	r= 2.240208E-07	r'= 1.843531E+07	r''= -4.926987E+21	th= 3.055625E+00	th'= 2.306325E+13
t= 2.276100E-14	r= 2.247634E-07	r'= 1.823642E+07	r''= -4.894875E+21	th= 3.056556E+00	th'= 2.291110E+13
t= 2.278125E-14	r= 2.254979E-07	r'= 1.803881E+07	r''= -4.863418E+21	th= 3.057481E+00	th'= 2.276207E+13
t= 2.280150E-14	r= 2.262245E-07	r'= 1.784247E+07	r''= -4.832600E+21	th= 3.058400E+00	th'= 2.261609E+13
t= 2.282175E-14	r= 2.269432E-07	r'= 1.764736E+07	r''= -4.802406E+21	th= 3.059313E+00	th'= 2.247308E+13
t= 2.284200E-14	r= 2.276540E-07	r'= 1.745347E+07	r''= -4.772820E+21	th= 3.060220E+00	th'= 2.233297E+13
t= 2.286225E-14	r= 2.283569E-07	r'= 1.726076E+07	r''= -4.743828E+21	th= 3.061122E+00	th'= 2.219568E+13
t= 2.288250E-14	r= 2.290521E-07	r'= 1.706921E+07	r''= -4.715415E+21	th= 3.062018E+00	th'= 2.206116E+13
t= 2.290275E-14	r= 2.297395E-07	r'= 1.687880E+07	r''= -4.687570E+21	th= 3.062909E+00	th'= 2.192933E+13
t= 2.292300E-14	r= 2.304193E-07	r'= 1.668951E+07	r''= -4.660277E+21	th= 3.063794E+00	th'= 2.180014E+13
t= 2.294325E-14	r= 2.310914E-07	r'= 1.650131E+07	r''= -4.633525E+21	th= 3.064675E+00	th'= 2.167351E+13
t= 2.296350E-14	r= 2.317559E-07	r'= 1.631419E+07	r''= -4.607301E+21	th= 3.065550E+00	th'= 2.154940E+13
t= 2.298375E-14	r= 2.324129E-07	r'= 1.612811E+07	r''= -4.581594E+21	th= 3.066420E+00	th'= 2.142775E+13
t= 2.300400E-14	r= 2.330623E-07	r'= 1.594307E+07	r''= -4.556392E+21	th= 3.067285E+00	th'= 2.130850E+13
t= 2.302425E-14	r= 2.337043E-07	r'= 1.575904E+07	r''= -4.531683E+21	th= 3.068146E+00	th'= 2.119159E+13
t= 2.304450E-14	r= 2.343388E-07	r'= 1.557600E+07	r''= -4.507458E+21	th= 3.069002E+00	th'= 2.107698E+13
t= 2.306475E-14	r= 2.349659E-07	r'= 1.539393E+07	r''= -4.483705E+21	th= 3.069853E+00	th'= 2.096462E+13
t= 2.308500E-14	r= 2.355857E-07	r'= 1.521281E+07	r''= -4.460414E+21	th= 3.070700E+00	th'= 2.085446E+13
t= 2.310525E-14	r= 2.361982E-07	r'= 1.503263E+07	r''= -4.437577E+21	th= 3.071543E+00	th'= 2.074645E+13
t= 2.312550E-14	r= 2.368034E-07	r'= 1.485336E+07	r''= -4.415182E+21	th= 3.072381E+00	th'= 2.064054E+13
