t= 7.507490E-16	r= 2.865316E-09	r'= 4.030773E+07	r''= 2.610353E+25	th= 2.143562E-01	th'= 1.409821E+17
t= 7.514990E-16	r= 2.954092E-09	r'= 7.729168E+07	r''= 2.294925E+25	th= 4.201354E-01	th'= 1.326391E+17
t= 7.522490E-16	r= 3.094317E-09	r'= 1.086479E+08	r''= 1.877062E+25	th= 6.105796E-01	th'= 1.208920E+17
t= 7.529990E-16	r= 3.276768E-09	r'= 1.335650E+08	r''= 1.449355E+25	th= 7.821639E-01	th'= 1.078055E+17
t= 7.537490E-16	r= 3.491929E-09	r'= 1.523788E+08	r''= 1.069646E+25	th= 9.341264E-01	th'= 9.493008E+16
t= 7.544990E-16	r= 3.731296E-09	r'= 1.660120E+08	r''= 7.600197E+24	th= 1.067519E+00	th'= 8.314116E+16
t= 7.552490E-16	r= 3.987899E-09	r'= 1.755320E+08	r''= 5.200730E+24	th= 1.184283E+00	th'= 7.278582E+16
t= 7.559990E-16	r= 4.256318E-09	r'= 1.819139E+08	r''= 3.395884E+24	th= 1.286620E+00	th'= 6.389484E+16
t= 7.567490E-16	r= 4.532469E-09	r'= 1.859560E+08	r''= 2.061068E+24	th= 1.376647E+00	th'= 5.634597E+16
t= 7.574990E-16	r= 4.813325E-09	r'= 1.882763E+08	r''= 1.083043E+24	th= 1.456248E+00	th'= 4.996208E+16
t= 7.582490E-16	r= 5.096669E-09	r'= 1.893383E+08	r''= 3.702139E+23	th= 1.527031E+00	th'= 4.456114E+16
t= 7.589990E-16	r= 5.380883E-09	r'= 1.894848E+08	r''= -1.474337E+23	th= 1.590345E+00	th'= 3.997794E+16
t= 7.597490E-16	r= 5.664793E-09	r'= 1.889677E+08	r''= -5.219148E+23	th= 1.647307E+00	th'= 3.607097E+16
t= 7.604990E-16	r= 5.947548E-09	r'= 1.879717E+08	r''= -7.913469E+23	th= 1.698840E+00	th'= 3.272264E+16
t= 7.612490E-16	r= 6.228538E-09	r'= 1.866324E+08	r''= -9.835181E+23	th= 1.745708E+00	th'= 2.983669E+16
t= 7.619990E-16	r= 6.507326E-09	r'= 1.850498E+08	r''= -1.118681E+24	th= 1.788545E+00	th'= 2.733484E+16
t= 7.627490E-16	r= 6.783604E-09	r'= 1.832976E+08	r''= -1.211636E+24	th= 1.827875E+00	th'= 2.515355E+16
t= 7.634990E-16	r= 7.057163E-09	r'= 1.814306E+08	r''= -1.273243E+24	th= 1.864142E+00	th'= 2.324122E+16
t= 7.642490E-16	r= 7.327861E-09	r'= 1.794895E+08	r''= -1.311514E+24	th= 1.897714E+00	th'= 2.155578E+16
t= 7.649990E-16	r= 7.595612E-09	r'= 1.775047E+08	r''= -1.332389E+24	th= 1.928907E+00	th'= 2.006280E+16
t= 7.657490E-16	r= 7.860367E-09	r'= 1.754988E+08	r''= -1.340301E+24	th= 1.957986E+00	th'= 1.873400E+16
t= 7.664990E-16	r= 8.122108E-09	r'= 1.734886E+08	r''= -1.338570E+24	th= 1.985180E+00	th'= 1.754599E+16
t= 7.672490E-16	r= 8.380839E-09	r'= 1.714867E+08	r''= -1.329697E+24	th= 2.010686E+00	th'= 1.647933E+16
t= 7.679990E-16	r= 8.636579E-09	r'= 1.695021E+08	r''= -1.315575E+24	th= 2.034672E+00	th'= 1.551781E+16
t= 7.687490E-16	r= 8.889360E-09	r'= 1.675418E+08	r''= -1.297640E+24	th= 2.057286E+00	th'= 1.464780E+16
t= 7.694990E-16	r= 9.139221E-09	r'= 1.656106E+08	r''= -1.276987E+24	th= 2.078656E+00	th'= 1.385780E+16
t= 7.702490E-16	r= 9.386209E-09	r'= 1.637118E+08	r''= -1.254449E+24	th= 2.098895E+00	th'= 1.313807E+16
t= 7.709990E-16	r= 9.630376E-09	r'= 1.618478E+08	r''= -1.230664E+24	th= 2.118102E+00	th'= 1.248030E+16
t= 7.717490E-16	r= 9.871773E-09	r'= 1.600201E+08	r''= -1.206119E+24	th= 2.136364E+00	th'= 1.187738E+16
t= 7.724990E-16	r= 1.011046E-08	r'= 1.582296E+08	r''= -1.181186E+24	th= 2.153759E+00	th'= 1.132319E+16
t= 7.732490E-16	r= 1.034648E-08	r'= 1.564766E+08	r''= -1.156146E+24	th= 2.170356E+00	th'= 1.081246E+16
t= 7.739990E-16	r= 1.057991E-08	r'= 1.547611E+08	r''= -1.131215E+24	th= 2.186216E+00	th'= 1.034060E+16
t= 7.747490E-16	r= 1.081079E-08	r'= 1.530828E+08	r''= -1.106552E+24	th= 2.201396E+00	th'= 9.903635E+15
t= 7.754990E-16	r= 1.103918E-08	r'= 1.514412E+08	r''= -1.082277E+24	th= 2.215943E+00	th'= 9.498073E+15
t= 7.762490E-16	r= 1.126513E-08	r'= 1.498357E+08	r''= -1.058477E+24	th= 2.229904E+00	th'= 9.120866E+15
t= 7.769990E-16	r= 1.148870E-08	r'= 1.482655E+08	r''= -1.035215E+24	th= 2.243319E+00	th'= 8.769325E+15
t= 7.777490E-16	r= 1.170994E-08	r'= 1.467298E+08	r''= -1.012533E+24	th= 2.256224E+00	th'= 8.441081E+15
t= 7.784990E-16	r= 1.192891E-08	r'= 1.452276E+08	r''= -9.904604E+23	th= 2.268653E+00	th'= 8.134034E+15
t= 7.792490E-16	r= 1.214565E-08	r'= 1.437580E+08	r''= -9.690119E+23	th= 2.280636E+00	th'= 7.846319E+15
t= 7.799990E-16	r= 1.236020E-08	r'= 1.423202E+08	r''= -9.481950E+23	th= 2.292201E+00	th'= 7.576277E+15
t= 7.807490E-16	r= 1.257262E-08	r'= 1.409131E+08	r''= -9.280098E+23	th= 2.303374E+00	th'= 7.322423E+15
t= 7.814990E-16	r= 1.278296E-08	r'= 1.395358E+08	r''= -9.084513E+23	th= 2.314176E+00	th'= 7.083432E+15
t= 7.822490E-16	r= 1.299125E-08	r'= 1.381874E+08	r''= -8.895101E+23	th= 2.324631E+00	th'= 6.858111E+15
t= 7.829990E-16	r= 1.319753E-08	r'= 1.368670E+08	r''= -8.711740E+23	th= 2.334757E+00	th'= 6.645387E+15
t= 7.837490E-16	r= 1.340186E-08	r'= 1.355736E+08	r''= -8.534288E+23	th= 2.344573E+00	th'= 6.444295E+15
t= 7.844990E-16	r= 1.360427E-08	r'= 1.343064E+08	r''= -8.362584E+23	th= 2.354096E+00	th'= 6.253959E+15
t= 7.852490E-16	r= 1.380479E-08	r'= 1.330645E+08	r''= -8.196460E+23	th= 2.363340E+00	th'= 6.073588E+15
t= 7.859990E-16	r= 1.400348E-08	r'= 1.318472E+08	r''= -8.035738E+23	th= 2.372321E+00	th'= 5.902464E+15
t= 7.867490E-16	r= 1.420035E-08	r'= 1.306535E+08	r''= -7.880241E+23	th= 2.381052E+00	th'= 5.739933E+15
