t= 2.252249E-15	r= 1.213659E-08	r'= 5.768735E+06	r''= 1.278258E+24	th= 7.080598E-02	th'= 1.571572E+16
t= 2.254499E-15	r= 1.217543E-08	r'= 1.148549E+07	r''= 1.260613E+24	th= 1.413260E-01	th'= 1.561560E+16
t= 2.256749E-15	r= 1.223979E-08	r'= 1.709772E+07	r''= 1.231946E+24	th= 2.112510E-01	th'= 1.545183E+16
t= 2.258999E-15	r= 1.232908E-08	r'= 2.255807E+07	r''= 1.193311E+24	th= 2.803038E-01	th'= 1.522885E+16
t= 2.261249E-15	r= 1.244252E-08	r'= 2.782463E+07	r''= 1.146058E+24	th= 3.482307E-01	th'= 1.495245E+16
t= 2.263499E-15	r= 1.257915E-08	r'= 3.286204E+07	r''= 1.091735E+24	th= 4.148061E-01	th'= 1.462939E+16
t= 2.265749E-15	r= 1.273789E-08	r'= 3.764215E+07	r''= 1.031980E+24	th= 4.798367E-01	th'= 1.426707E+16
t= 2.267999E-15	r= 1.291751E-08	r'= 4.214422E+07	r''= 9.684222E+23	th= 5.431626E-01	th'= 1.387305E+16
t= 2.270249E-15	r= 1.311674E-08	r'= 4.635464E+07	r''= 9.026046E+23	th= 6.046583E-01	th'= 1.345482E+16
t= 2.272499E-15	r= 1.333425E-08	r'= 5.026643E+07	r''= 8.359191E+23	th= 6.642308E-01	th'= 1.301946E+16
t= 2.274749E-15	r= 1.356869E-08	r'= 5.387849E+07	r''= 7.695700E+23	th= 7.218179E-01	th'= 1.257346E+16
t= 2.276999E-15	r= 1.381871E-08	r'= 5.719464E+07	r''= 7.045554E+23	th= 7.773851E-01	th'= 1.212259E+16
t= 2.279249E-15	r= 1.408300E-08	r'= 6.022275E+07	r''= 6.416658E+23	th= 8.309220E-01	th'= 1.167186E+16
t= 2.281499E-15	r= 1.436029E-08	r'= 6.297378E+07	r''= 5.814951E+23	th= 8.824388E-01	th'= 1.122546E+16
t= 2.283749E-15	r= 1.464937E-08	r'= 6.546098E+07	r''= 5.244607E+23	th= 9.319632E-01	th'= 1.078681E+16
t= 2.285999E-15	r= 1.494907E-08	r'= 6.769909E+07	r''= 4.708271E+23	th= 9.795363E-01	th'= 1.035864E+16
t= 2.288249E-15	r= 1.525831E-08	r'= 6.970378E+07	r''= 4.207314E+23	th= 1.025210E+00	th'= 9.943016E+15
t= 2.290499E-15	r= 1.557607E-08	r'= 7.149109E+07	r''= 3.742084E+23	th= 1.069045E+00	th'= 9.541461E+15
t= 2.292749E-15	r= 1.590142E-08	r'= 7.307700E+07	r''= 3.312139E+23	th= 1.111106E+00	th'= 9.155011E+15
t= 2.294999E-15	r= 1.623349E-08	r'= 7.447719E+07	r''= 2.916440E+23	th= 1.151464E+00	th'= 8.784302E+15
t= 2.297249E-15	r= 1.657146E-08	r'= 7.570675E+07	r''= 2.553533E+23	th= 1.190190E+00	th'= 8.429644E+15
t= 2.299499E-15	r= 1.691461E-08	r'= 7.678006E+07	r''= 2.221679E+23	th= 1.227355E+00	th'= 8.091085E+15
t= 2.301749E-15	r= 1.726227E-08	r'= 7.771067E+07	r''= 1.918976E+23	th= 1.263034E+00	th'= 7.768464E+15
t= 2.303999E-15	r= 1.761381E-08	r'= 7.851125E+07	r''= 1.643438E+23	th= 1.297295E+00	th'= 7.461464E+15
t= 2.306249E-15	r= 1.796869E-08	r'= 7.919357E+07	r''= 1.393069E+23	th= 1.330210E+00	th'= 7.169649E+15
t= 2.308499E-15	r= 1.832639E-08	r'= 7.976851E+07	r''= 1.165905E+23	th= 1.361844E+00	th'= 6.892499E+15
t= 2.310749E-15	r= 1.868646E-08	r'= 8.024610E+07	r''= 9.600502E+22	th= 1.392264E+00	th'= 6.629435E+15
t= 2.312999E-15	r= 1.904847E-08	r'= 8.063550E+07	r''= 7.737028E+22	th= 1.421530E+00	th'= 6.379845E+15
t= 2.315249E-15	r= 1.941206E-08	r'= 8.094512E+07	r''= 6.051650E+22	th= 1.449702E+00	th'= 6.143096E+15
t= 2.317499E-15	r= 1.977687E-08	r'= 8.118260E+07	r''= 4.528525E+22	th= 1.476836E+00	th'= 5.918549E+15
t= 2.319749E-15	r= 2.014260E-08	r'= 8.135491E+07	r''= 3.152966E+22	th= 1.502986E+00	th'= 5.705571E+15
t= 2.321999E-15	r= 2.050898E-08	r'= 8.146839E+07	r''= 1.911436E+22	th= 1.528203E+00	th'= 5.503542E+15
t= 2.324249E-15	r= 2.087574E-08	r'= 8.152878E+07	r''= 7.915091E+21	th= 1.552534E+00	th'= 5.311858E+15
t= 2.326499E-15	r= 2.124266E-08	r'= 8.154129E+07	r''= -2.181754E+21	th= 1.576025E+00	th'= 5.129939E+15
t= 2.328749E-15	r= 2.160955E-08	r'= 8.151065E+07	r''= -1.127978E+22	th= 1.598717E+00	th'= 4.957227E+15
t= 2.330999E-15	r= 2.197620E-08	r'= 8.144114E+07	r''= -1.947321E+22	th= 1.620653E+00	th'= 4.793191E+15
t= 2.333249E-15	r= 2.234246E-08	r'= 8.133663E+07	r''= -2.684764E+22	th= 1.641869E+00	th'= 4.637328E+15
t= 2.335499E-15	r= 2.270818E-08	r'= 8.120063E+07	r''= -3.348063E+22	th= 1.662400E+00	th'= 4.489160E+15
t= 2.337749E-15	r= 2.307323E-08	r'= 8.103631E+07	r''= -3.944247E+22	th= 1.682282E+00	th'= 4.348237E+15
t= 2.339999E-15	r= 2.343747E-08	r'= 8.084656E+07	r''= -4.479673E+22	th= 1.701545E+00	th'= 4.214133E+15
t= 2.342249E-15	r= 2.380081E-08	r'= 8.063397E+07	r''= -4.960091E+22	th= 1.720219E+00	th'= 4.086450E+15
t= 2.344499E-15	r= 2.416315E-08	r'= 8.040091E+07	r''= -5.390701E+22	th= 1.738332E+00	th'= 3.964813E+15
t= 2.346749E-15	r= 2.452439E-08	r'= 8.014949E+07	r''= -5.776199E+22	th= 1.755911E+00	th'= 3.848869E+15
