t= 2.355749E-15	r= 3.152879E-08	r'= 9.703562E+07	r''= -2.120120E+23	th= 2.652074E+00	th'= 1.164354E+15
t= 2.357999E-15	r= 3.196332E-08	r'= 9.609326E+07	r''= -2.068521E+23	th= 2.657242E+00	th'= 1.132911E+15
t= 2.360249E-15	r= 3.239366E-08	r'= 9.517360E+07	r''= -2.019232E+23	th= 2.662272E+00	th'= 1.103010E+15
t= 2.362499E-15	r= 3.281992E-08	r'= 9.427562E+07	r''= -1.972109E+23	th= 2.667171E+00	th'= 1.074545E+15
t= 2.364749E-15	r= 3.324218E-08	r'= 9.339839E+07	r''= -1.927018E+23	th= 2.671945E+00	th'= 1.047419E+15
t= 2.366999E-15	r= 3.366053E-08	r'= 9.254102E+07	r''= -1.883835E+23	th= 2.676600E+00	th'= 1.021544E+15
t= 2.369249E-15	r= 3.407507E-08	r'= 9.170267E+07	r''= -1.842448E+23	th= 2.681141E+00	th'= 9.968403E+14
t= 2.371499E-15	r= 3.448588E-08	r'= 9.088256E+07	r''= -1.802751E+23	th= 2.685573E+00	th'= 9.732321E+14
t= 2.373749E-15	r= 3.489304E-08	r'= 9.007995E+07	r''= -1.764648E+23	th= 2.689902E+00	th'= 9.506516E+14
t= 2.375999E-15	r= 3.529663E-08	r'= 8.929414E+07	r''= -1.728048E+23	th= 2.694131E+00	th'= 9.290361E+14
t= 2.378249E-15	r= 3.569672E-08	r'= 8.852449E+07	r''= -1.692867E+23	th= 2.698264E+00	th'= 9.083275E+14
t= 2.380499E-15	r= 3.609337E-08	r'= 8.777036E+07	r''= -1.659029E+23	th= 2.702307E+00	th'= 8.884725E+14
t= 2.382749E-15	r= 3.648667E-08	r'= 8.703117E+07	r''= -1.626461E+23	th= 2.706262E+00	th'= 8.694216E+14
t= 2.384999E-15	r= 3.687668E-08	r'= 8.630636E+07	r''= -1.595095E+23	th= 2.710133E+00	th'= 8.511289E+14
t= 2.387249E-15	r= 3.726345E-08	r'= 8.559541E+07	r''= -1.564870E+23	th= 2.713923E+00	th'= 8.335520E+14
t= 2.389499E-15	r= 3.764706E-08	r'= 8.489781E+07	r''= -1.535727E+23	th= 2.717636E+00	th'= 8.166515E+14
t= 2.391749E-15	r= 3.802755E-08	r'= 8.421310E+07	r''= -1.507610E+23	th= 2.721274E+00	th'= 8.003907E+14
t= 2.393999E-15	r= 3.840499E-08	r'= 8.354081E+07	r''= -1.480470E+23	th= 2.724840E+00	th'= 7.847356E+14
t= 2.396249E-15	r= 3.877944E-08	r'= 8.288053E+07	r''= -1.454257E+23	th= 2.728337E+00	th'= 7.696543E+14
t= 2.398499E-15	r= 3.915094E-08	r'= 8.223185E+07	r''= -1.428928E+23	th= 2.731768E+00	th'= 7.551172E+14
t= 2.400749E-15	r= 3.951954E-08	r'= 8.159437E+07	r''= -1.404440E+23	th= 2.735134E+00	th'= 7.410966E+14
t= 2.402999E-15	r= 3.988530E-08	r'= 8.096773E+07	r''= -1.380754E+23	th= 2.738439E+00	th'= 7.275667E+14
t= 2.405249E-15	r= 4.024827E-08	r'= 8.035157E+07	r''= -1.357832E+23	th= 2.741683E+00	th'= 7.145032E+14
t= 2.407499E-15	r= 4.060848E-08	r'= 7.974557E+07	r''= -1.335640E+23	th= 2.744870E+00	th'= 7.018835E+14
t= 2.409749E-15	r= 4.096599E-08	r'= 7.914939E+07	r''= -1.314145E+23	th= 2.748001E+00	th'= 6.896862E+14
t= 2.411999E-15	r= 4.132084E-08	r'= 7.856273E+07	r''= -1.293316E+23	th= 2.751078E+00	th'= 6.778915E+14
t= 2.414249E-15	r= 4.167307E-08	r'= 7.798531E+07	r''= -1.273123E+23	th= 2.754102E+00	th'= 6.664805E+14
t= 2.416499E-15	r= 4.202272E-08	r'= 7.741683E+07	r''= -1.253540E+23	th= 2.757076E+00	th'= 6.554356E+14
t= 2.418749E-15	r= 4.236984E-08	r'= 7.685703E+07	r''= -1.234540E+23	th= 2.760002E+00	th'= 6.447403E+14
t= 2.420999E-15	r= 4.271445E-08	r'= 7.630566E+07	r''= -1.216098E+23	th= 2.762880E+00	th'= 6.343789E+14
t= 2.423249E-15	r= 4.305660E-08	r'= 7.576246E+07	r''= -1.198192E+23	th= 2.765712E+00	th'= 6.243367E+14
t= 2.425499E-15	r= 4.339632E-08	r'= 7.522721E+07	r''= -1.180799E+23	th= 2.768499E+00	th'= 6.145999E+14
t= 2.427749E-15	r= 4.373366E-08	r'= 7.469967E+07	r''= -1.163898E+23	th= 2.771243E+00	th'= 6.051551E+14
t= 2.429999E-15	r= 4.406863E-08	r'= 7.417963E+07	r''= -1.147470E+23	th= 2.773946E+00	th'= 5.959902E+14
t= 2.432249E-15	r= 4.440129E-08	r'= 7.366687E+07	r''= -1.131496E+23	th= 2.776608E+00	th'= 5.870934E+14
t= 2.434499E-15	r= 4.473165E-08	r'= 7.316121E+07	r''= -1.115958E+23	th= 2.779230E+00	th'= 5.784536E+14
t= 2.436749E-15	r= 4.505975E-08	r'= 7.266245E+07	r''= -1.100840E+23	th= 2.781814E+00	th'= 5.700602E+14
t= 2.438999E-15	r= 4.538562E-08	r'= 7.217039E+07	r''= -1.086125E+23	th= 2.784361E+00	th'= 5.619035E+14
t= 2.441249E-15	r= 4.570929E-08	r'= 7.168488E+07	r''= -1.071797E+23	th= 2.786872E+00	th'= 5.539738E+14
t= 2.443499E-15	r= 4.603079E-08	r'= 7.120572E+07	r''= -1.057844E+23	th= 2.789347E+00	th'= 5.462624E+14
t= 2.445749E-15	r= 4.635015E-08	r'= 7.073276E+07	r''= -1.044250E+23	th= 2.791788E+00	th'= 5.387606E+14
t= 2.447999E-15	r= 4.666740E-08	r'= 7.026584E+07	r''= -1.031003E+23	th= 2.794196E+00	th'= 5.314605E+14
t= 2.450249E-15	r= 4.698255E-08	r'= 6.980481E+07	r''= -1.018090E+23	th= 2.796572E+00	th'= 5.243544E+14
t= 2.452499E-15	r= 4.729565E-08	r'= 6.934951E+07	r''= -1.005499E+23	th= 2.798916E+00	th'= 5.174349E+14
t= 2.454749E-15	r= 4.760671E-08	r'= 6.889981E+07	r''= -9.932185E+22	th= 2.801229E+00	th'= 5.106952E+14
t= 2.456999E-15	r= 4.791576E-08	r'= 6.845557E+07	r''= -9.812381E+22	th= 2.803512E+00	th'= 5.041287E+14
t= 2.459249E-15	r= 4.822282E-08	r'= 6.801665E+07	r''= -9.695473E+22	th= 2.805766E+00	th'= 4.977290E+14
t= 2.461499E-15	r= 4.852791E-08	r'= 6.758293E+07	r''= -9.581361E+22	th= 2.807992E+00	th'= 4.914901E+14
t= 2.463749E-15	r= 4.883107E-08	r'= 6.715429E+07	r''= -9.469950E+22	th= 2.810190E+00	th'= 4.854064E+14
t= 2.465999E-15	r= 4.913231E-08	r'= 6.673060E+07	r''= -9.361149E+22	th= 2.812361E+00	th'= 4.794724E+14
t= 2.468249E-15	r= 4.943166E-08	r'= 6.631174E+07	r''= -9.254873E+22	th= 2.814506E+00	th'= 4.736829E+14
t= 2.470499E-15	r= 4.972912E-08	r'= 6.589762E+07	r''= -9.151038E+22	th= 2.816624E+00	th'= 4.680329E+14
t= 2.472749E-15	r= 5.002474E-08	r'= 6.548811E+07	r''= -9.049564E+22	th= 2.818718E+00	th'= 4.625176E+14
t= 2.474999E-15	r= 5.031852E-08	r'= 6.508312E+07	r''= -8.950376E+22	th= 2.820787E+00	th'= 4.571326E+14
t= 2.477249E-15	r= 5.061050E-08	r'= 6.468255E+07	r''= -8.853401E+22	th= 2.822832E+00	th'= 4.518734E+14
t= 2.479499E-15	r= 5.090067E-08	r'= 6.428628E+07	r''= -8.758568E+22	th= 2.824854E+00	th'= 4.467359E+14
t= 2.481749E-15	r= 5.118908E-08	r'= 6.389424E+07	r''= -8.665812E+22	th= 2.826853E+00	th'= 4.417162E+14
t= 2.483999E-15	r= 5.147573E-08	r'= 6.350633E+07	r''= -8.575067E+22	th= 2.828830E+00	th'= 4.368103E+14
t= 2.486249E-15	r= 5.176064E-08	r'= 6.312246E+07	r''= -8.486271E+22	th= 2.830785E+00	th'= 4.320148E+14
t= 2.488499E-15	r= 5.204384E-08	r'= 6.274254E+07	r''= -8.399366E+22	th= 2.832718E+00	th'= 4.273260E+14
t= 2.490749E-15	r= 5.232533E-08	r'= 6.236649E+07	r''= -8.314295E+22	th= 2.834631E+00	th'= 4.227405E+14
t= 2.492999E-15	r= 5.260514E-08	r'= 6.199422E+07	r''= -8.231002E+22	th= 2.836523E+00	th'= 4.182553E+14
t= 2.495249E-15	r= 5.288329E-08	r'= 6.162567E+07	r''= -8.149436E+22	th= 2.838395E+00	th'= 4.138672E+14
t= 2.497499E-15	r= 5.315978E-08	r'= 6.126075E+07	r''= -8.069546E+22	th= 2.840248E+00	th'= 4.095732E+14
t= 2.499749E-15	r= 5.343464E-08	r'= 6.089938E+07	r''= -7.991282E+22	th= 2.842082E+00	th'= 4.053705E+14
t= 2.501999E-15	r= 5.370788E-08	r'= 6.054151E+07	r''= -7.914599E+22	th= 2.843896E+00	th'= 4.012563E+14
t= 2.504249E-15	r= 5.397952E-08	r'= 6.018705E+07	r''= -7.839450E+22	th= 2.845693E+00	th'= 3.972280E+14
t= 2.506499E-15	r= 5.424957E-08	r'= 5.983593E+07	r''= -7.765794E+22	th= 2.847472E+00	th'= 3.932831E+14
t= 2.508749E-15	r= 5.451805E-08	r'= 5.948810E+07	r''= -7.693587E+22	th= 2.849233E+00	th'= 3.894191E+14
t= 2.510999E-15	r= 5.478497E-08	r'= 5.914349E+07	r''= -7.622790E+22	th= 2.850977E+00	th'= 3.856337E+14
t= 2.513249E-15	r= 5.505034E-08	r'= 5.880203E+07	r''= -7.553363E+22	th= 2.852703E+00	th'= 3.819247E+14
t= 2.515499E-15	r= 5.531419E-08	r'= 5.846367E+07	r''= -7.485270E+22	th= 2.854414E+00	th'= 3.782898E+14
t= 2.517749E-15	r= 5.557652E-08	r'= 5.812834E+07	r''= -7.418474E+22	th= 2.856108E+00	th'= 3.747271E+14
t= 2.519999E-15	r= 5.583735E-08	r'= 5.779598E+07	r''= -7.352941E+22	th= 2.857787E+00	th'= 3.712344E+14
t= 2.522249E-15	r= 5.609669E-08	r'= 5.746655E+07	r''= -7.288636E+22	th= 2.859449E+00	th'= 3.678098E+14
t= 2.524499E-15	r= 5.635455E-08	r'= 5.713999E+07	r''= -7.225527E+22	th= 2.861097E+00	th'= 3.644515E+14
t= 2.526749E-15	r= 5.661095E-08	r'= 5.681624E+07	r''= -7.163584E+22	th= 2.862730E+00	th'= 3.611576E+14
t= 2.528999E-15	r= 5.686590E-08	r'= 5.649525E+07	r''= -7.102775E+22	th= 2.864348E+00	th'= 3.579265E+14
t= 2.531249E-15	r= 5.711941E-08	r'= 5.617697E+07	r''= -7.043071E+22	th= 2.865951E+00	th'= 3.547564E+14
t= 2.533499E-15	r= 5.737150E-08	r'= 5.586135E+07	r''= -6.984445E+22	th= 2.867540E+00	th'= 3.516457E+14
t= 2.535749E-15	r= 5.762217E-08	r'= 5.554835E+07	r''= -6.926868E+22	th= 2.869116E+00	th'= 3.485928E+14
t= 2.537999E-15	r= 5.787144E-08	r'= 5.523792E+07	r''= -6.870314E+22	th= 2.870678E+00	th'= 3.455963E+14
t= 2.540249E-15	r= 5.811932E-08	r'= 5.493001E+07	r''= -6.814759E+22	th= 2.872226E+00	th'= 3.426547E+14
t= 2.542499E-15	r= 5.836581E-08	r'= 5.462458E+07	r''= -6.760176E+22	th= 2.873762E+00	th'= 3.397665E+14
t= 2.544749E-15	r= 5.861094E-08	r'= 5.432158E+07	r''= -6.706543E+22	th= 2.875284E+00	th'= 3.369304E+14
t= 2.546999E-15	r= 5.885471E-08	r'= 5.402097E+07	r''= -6.653835E+22	th= 2.876794E+00	th'= 3.341452E+14
t= 2.549249E-15	r= 5.909713E-08	r'= 5.372272E+07	r''= -6.602031E+22	th= 2.878292E+00	th'= 3.314094E+14
t= 2.551499E-15	r= 5.933822E-08	r'= 5.342678E+07	r''= -6.551109E+22	th= 2.879777E+00	th'= 3.287219E+14
t= 2.553749E-15	r= 5.957798E-08	r'= 5.313311E+07	r''= -6.501047E+22	th= 2.881250E+00	th'= 3.260814E+14
t= 2.555999E-15	r= 5.981642E-08	r'= 5.284167E+07	r''= -6.451826E+22	th= 2.882712E+00	th'= 3.234869E+14
t= 2.558249E-15	r= 6.005356E-08	r'= 5.255243E+07	r''= -6.403426E+22	th= 2.884162E+00	th'= 3.209373E+14
t= 2.560499E-15	r= 6.028940E-08	r'= 5.226535E+07	r''= -6.355826E+22	th= 2.885600E+00	th'= 3.184313E+14
t= 2.562749E-15	r= 6.052395E-08	r'= 5.198039E+07	r''= -6.309010E+22	th= 2.887028E+00	th'= 3.159680E+14
t= 2.564999E-15	r= 6.075722E-08	r'= 5.169753E+07	r''= -6.262959E+22	th= 2.888444E+00	th'= 3.135463E+14
t= 2.567249E-15	r= 6.098923E-08	r'= 5.141672E+07	r''= -6.217655E+22	th= 2.889850E+00	th'= 3.111654E+14
t= 2.569499E-15	r= 6.121998E-08	r'= 5.113793E+07	r''= -6.173082E+22	th= 2.891245E+00	th'= 3.088241E+14
t= 2.571749E-15	r= 6.144948E-08	r'= 5.086113E+07	r''= -6.129223E+22	th= 2.892629E+00	th'= 3.065217E+14
t= 2.573999E-15	r= 6.167773E-08	r'= 5.058629E+07	r''= -6.086062E+22	th= 2.894003E+00	th'= 3.042571E+14
t= 2.576249E-15	r= 6.190475E-08	r'= 5.031337E+07	r''= -6.043583E+22	th= 2.895368E+00	th'= 3.020296E+14
t= 2.578499E-15	r= 6.213055E-08	r'= 5.004235E+07	r''= -6.001772E+22	th= 2.896722E+00	th'= 2.998383E+14
t= 2.580749E-15	r= 6.235514E-08	r'= 4.977320E+07	r''= -5.960614E+22	th= 2.898066E+00	th'= 2.976823E+14
t= 2.582999E-15	r= 6.257852E-08	r'= 4.950589E+07	r''= -5.920095E+22	th= 2.899401E+00	th'= 2.955609E+14
t= 2.585249E-15	r= 6.280070E-08	r'= 4.924038E+07	r''= -5.880200E+22	th= 2.900726E+00	th'= 2.934733E+14
t= 2.587499E-15	r= 6.302168E-08	r'= 4.897666E+07	r''= -5.840918E+22	th= 2.902042E+00	th'= 2.914188E+14
t= 2.589749E-15	r= 6.324149E-08	r'= 4.871469E+07	r''= -5.802234E+22	th= 2.903349E+00	th'= 2.893966E+14
t= 2.591999E-15	r= 6.346012E-08	r'= 4.845445E+07	r''= -5.764135E+22	th= 2.904647E+00	th'= 2.874060E+14
t= 2.594249E-15	r= 6.367758E-08	r'= 4.819591E+07	r''= -5.726611E+22	th= 2.905936E+00	th'= 2.854463E+14
t= 2.596499E-15	r= 6.389388E-08	r'= 4.793905E+07	r''= -5.689648E+22	th= 2.907216E+00	th'= 2.835169E+14
t= 2.598749E-15	r= 6.410903E-08	r'= 4.768383E+07	r''= -5.653235E+22	th= 2.908487E+00	th'= 2.816171E+14
t= 2.600999E-15	r= 6.432304E-08	r'= 4.743025E+07	r''= -5.617360E+22	th= 2.909751E+00	th'= 2.797463E+14
t= 2.603249E-15	r= 6.453591E-08	r'= 4.717826E+07	r''= -5.582013E+22	th= 2.911005E+00	th'= 2.779039E+14
t= 2.605499E-15	r= 6.474765E-08	r'= 4.692786E+07	r''= -5.547184E+22	th= 2.912252E+00	th'= 2.760892E+14
t= 2.607749E-15	r= 6.495826E-08	r'= 4.667901E+07	r''= -5.512860E+22	th= 2.913490E+00	th'= 2.743018E+14
t= 2.609999E-15	r= 6.516776E-08	r'= 4.643169E+07	r''= -5.479033E+22	th= 2.914720E+00	th'= 2.725410E+14
