t= 6.756749E-15	r= 2.867448E-08	r'= 2.750905E+06	r''= 2.033889E+23	th= 5.705635E-02	th'= 4.223059E+15
t= 6.763499E-15	r= 2.873010E-08	r'= 5.485994E+06	r''= 2.016159E+23	th= 1.139695E-01	th'= 4.206723E+15
t= 6.770249E-15	r= 2.882245E-08	r'= 8.189422E+06	r''= 1.987074E+23	th= 1.705903E-01	th'= 4.179809E+15
t= 6.776999E-15	r= 2.895100E-08	r'= 1.084629E+07	r''= 1.947307E+23	th= 2.267788E-01	th'= 4.142773E+15
t= 6.783749E-15	r= 2.911503E-08	r'= 1.344275E+07	r''= 1.897751E+23	th= 2.824024E-01	th'= 4.096227E+15
t= 6.790499E-15	r= 2.931363E-08	r'= 1.596629E+07	r''= 1.839474E+23	th= 3.373375E-01	th'= 4.040913E+15
t= 6.797249E-15	r= 2.954574E-08	r'= 1.840594E+07	r''= 1.773671E+23	th= 3.914714E-01	th'= 3.977672E+15
t= 6.803999E-15	r= 2.981017E-08	r'= 2.075240E+07	r''= 1.701612E+23	th= 4.447032E-01	th'= 3.907419E+15
t= 6.810749E-15	r= 3.010560E-08	r'= 2.299807E+07	r''= 1.624588E+23	th= 4.969445E-01	th'= 3.831107E+15
t= 6.817499E-15	r= 3.043063E-08	r'= 2.513713E+07	r''= 1.543875E+23	th= 5.481202E-01	th'= 3.749703E+15
t= 6.824249E-15	r= 3.078380E-08	r'= 2.716543E+07	r''= 1.460688E+23	th= 5.981680E-01	th'= 3.664160E+15
t= 6.830999E-15	r= 3.116359E-08	r'= 2.908039E+07	r''= 1.376154E+23	th= 6.470381E-01	th'= 3.575395E+15
t= 6.837749E-15	r= 3.156845E-08	r'= 3.088091E+07	r''= 1.291293E+23	th= 6.946931E-01	th'= 3.484275E+15
t= 6.844499E-15	r= 3.199685E-08	r'= 3.256715E+07	r''= 1.206999E+23	th= 7.411066E-01	th'= 3.391598E+15
t= 6.851249E-15	r= 3.244726E-08	r'= 3.414042E+07	r''= 1.124042E+23	th= 7.862627E-01	th'= 3.298094E+15
t= 6.857999E-15	r= 3.291815E-08	r'= 3.560296E+07	r''= 1.043060E+23	th= 8.301545E-01	th'= 3.204412E+15
t= 6.864749E-15	r= 3.340805E-08	r'= 3.695781E+07	r''= 9.645693E+22	th= 8.727837E-01	th'= 3.111121E+15
t= 6.871499E-15	r= 3.391554E-08	r'= 3.820861E+07	r''= 8.889715E+22	th= 9.141588E-01	th'= 3.018712E+15
t= 6.878249E-15	r= 3.443923E-08	r'= 3.935948E+07	r''= 8.165632E+22	th= 9.542948E-01	th'= 2.927603E+15
t= 6.884999E-15	r= 3.497781E-08	r'= 4.041487E+07	r''= 7.475492E+22	th= 9.932116E-01	th'= 2.838140E+15
t= 6.891749E-15	r= 3.553002E-08	r'= 4.137945E+07	r''= 6.820542E+22	th= 1.030933E+00	th'= 2.750605E+15
t= 6.898499E-15	r= 3.609467E-08	r'= 4.225803E+07	r''= 6.201354E+22	th= 1.067488E+00	th'= 2.665220E+15
t= 6.905249E-15	r= 3.667062E-08	r'= 4.305543E+07	r''= 5.617941E+22	th= 1.102905E+00	th'= 2.582156E+15
t= 6.911999E-15	r= 3.725682E-08	r'= 4.377647E+07	r''= 5.069859E+22	th= 1.137217E+00	th'= 2.501540E+15
t= 6.918749E-15	r= 3.785226E-08	r'= 4.442586E+07	r''= 4.556309E+22	th= 1.170458E+00	th'= 2.423457E+15
t= 6.925499E-15	r= 3.845602E-08	r'= 4.500818E+07	r''= 4.076215E+22	th= 1.202662E+00	th'= 2.347959E+15
t= 6.932249E-15	r= 3.906720E-08	r'= 4.552789E+07	r''= 3.628300E+22	th= 1.233865E+00	th'= 2.275068E+15
t= 6.938999E-15	r= 3.968501E-08	r'= 4.598921E+07	r''= 3.211144E+22	th= 1.264101E+00	th'= 2.204785E+15
t= 6.945749E-15	r= 4.030867E-08	r'= 4.639622E+07	r''= 2.823237E+22	th= 1.293406E+00	th'= 2.137087E+15
t= 6.952499E-15	r= 4.093748E-08	r'= 4.675274E+07	r''= 2.463018E+22	th= 1.321814E+00	th'= 2.071939E+15
t= 6.959249E-15	r= 4.157078E-08	r'= 4.706241E+07	r''= 2.128910E+22	th= 1.349359E+00	th'= 2.009291E+15
t= 6.965999E-15	r= 4.220797E-08	r'= 4.732865E+07	r''= 1.819347E+22	th= 1.376076E+00	th'= 1.949082E+15
t= 6.972749E-15	r= 4.284847E-08	r'= 4.755467E+07	r''= 1.532789E+22	th= 1.401995E+00	th'= 1.891248E+15
t= 6.979499E-15	r= 4.349178E-08	r'= 4.774347E+07	r''= 1.267743E+22	th= 1.427150E+00	th'= 1.835713E+15
t= 6.986249E-15	r= 4.413739E-08	r'= 4.789787E+07	r''= 1.022773E+22	th= 1.451569E+00	th'= 1.782402E+15
t= 6.992999E-15	r= 4.478487E-08	r'= 4.802047E+07	r''= 7.965053E+21	th= 1.475284E+00	th'= 1.731236E+15
t= 6.999749E-15	r= 4.543381E-08	r'= 4.811371E+07	r''= 5.876329E+21	th= 1.498322E+00	th'= 1.682134E+15
t= 7.006499E-15	r= 4.608382E-08	r'= 4.817986E+07	r''= 3.949215E+21	th= 1.520711E+00	th'= 1.635016E+15
t= 7.013249E-15	r= 4.673456E-08	r'= 4.822101E+07	r''= 2.172080E+21	th= 1.542476E+00	th'= 1.589801E+15
t= 7.019999E-15	r= 4.738569E-08	r'= 4.823913E+07	r''= 5.340047E+20	th= 1.563644E+00	th'= 1.546410E+15
t= 7.026749E-15	r= 4.803692E-08	r'= 4.823601E+07	r''= -9.752277E+20	th= 1.584237E+00	th'= 1.504765E+15
t= 7.033499E-15	r= 4.868797E-08	r'= 4.821334E+07	r''= -2.365157E+21	th= 1.604280E+00	th'= 1.464791E+15
t= 7.040249E-15	r= 4.933860E-08	r'= 4.817265E+07	r''= -3.644672E+21	th= 1.623794E+00	th'= 1.426413E+15
t= 7.046999E-15	r= 4.998856E-08	r'= 4.811539E+07	r''= -4.822037E+21	th= 1.642800E+00	th'= 1.389561E+15
t= 7.053749E-15	r= 5.063764E-08	r'= 4.804288E+07	r''= -5.904930E+21	th= 1.661319E+00	th'= 1.354166E+15
t= 7.060499E-15	r= 5.128565E-08	r'= 4.795635E+07	r''= -6.900468E+21	th= 1.679369E+00	th'= 1.320162E+15
t= 7.067249E-15	r= 5.193241E-08	r'= 4.785694E+07	r''= -7.815250E+21	th= 1.696969E+00	th'= 1.287485E+15
t= 7.073999E-15	r= 5.257774E-08	r'= 4.774568E+07	r''= -8.655380E+21	th= 1.714137E+00	th'= 1.256074E+15
t= 7.080749E-15	r= 5.322149E-08	r'= 4.762355E+07	r''= -9.426508E+21	th= 1.730888E+00	th'= 1.225871E+15
t= 7.087499E-15	r= 5.386353E-08	r'= 4.749145E+07	r''= -1.013386E+22	th= 1.747240E+00	th'= 1.196821E+15
t= 7.094249E-15	r= 5.450372E-08	r'= 4.735020E+07	r''= -1.078225E+22	th= 1.763208E+00	th'= 1.168871E+15
t= 7.100999E-15	r= 5.514195E-08	r'= 4.720058E+07	r''= -1.137616E+22	th= 1.778805E+00	th'= 1.141970E+15
t= 7.107749E-15	r= 5.577810E-08	r'= 4.704327E+07	r''= -1.191968E+22	th= 1.794045E+00	th'= 1.116070E+15
t= 7.114499E-15	r= 5.641208E-08	r'= 4.687895E+07	r''= -1.241664E+22	th= 1.808943E+00	th'= 1.091125E+15
t= 7.121249E-15	r= 5.704380E-08	r'= 4.670822E+07	r''= -1.287053E+22	th= 1.823510E+00	th'= 1.067092E+15
t= 7.127999E-15	r= 5.767318E-08	r'= 4.653163E+07	r''= -1.328461E+22	th= 1.837758E+00	th'= 1.043929E+15
t= 7.134749E-15	r= 5.830013E-08	r'= 4.634970E+07	r''= -1.366186E+22	th= 1.851700E+00	th'= 1.021597E+15
t= 7.141499E-15	r= 5.892460E-08	r'= 4.616291E+07	r''= -1.400505E+22	th= 1.865345E+00	th'= 1.000059E+15
t= 7.148249E-15	r= 5.954651E-08	r'= 4.597171E+07	r''= -1.431674E+22	th= 1.878705E+00	th'= 9.792783E+14
t= 7.154999E-15	r= 6.016582E-08	r'= 4.577649E+07	r''= -1.459927E+22	th= 1.891789E+00	th'= 9.592220E+14
t= 7.161749E-15	r= 6.078246E-08	r'= 4.557765E+07	r''= -1.485483E+22	th= 1.904607E+00	th'= 9.398579E+14
t= 7.168499E-15	r= 6.139640E-08	r'= 4.537552E+07	r''= -1.508544E+22	th= 1.917168E+00	th'= 9.211555E+14
t= 7.175249E-15	r= 6.200759E-08	r'= 4.517045E+07	r''= -1.529294E+22	th= 1.929481E+00	th'= 9.030859E+14
t= 7.181999E-15	r= 6.261599E-08	r'= 4.496271E+07	r''= -1.547907E+22	th= 1.941554E+00	th'= 8.856217E+14
t= 7.188749E-15	r= 6.322157E-08	r'= 4.475260E+07	r''= -1.564540E+22	th= 1.953395E+00	th'= 8.687367E+14
t= 7.195499E-15	r= 6.382430E-08	r'= 4.454037E+07	r''= -1.579341E+22	th= 1.965012E+00	th'= 8.524062E+14
t= 7.202249E-15	r= 6.442415E-08	r'= 4.432625E+07	r''= -1.592446E+22	th= 1.976413E+00	th'= 8.366066E+14
t= 7.208999E-15	r= 6.502110E-08	r'= 4.411048E+07	r''= -1.603981E+22	th= 1.987603E+00	th'= 8.213156E+14
t= 7.215749E-15	r= 6.561513E-08	r'= 4.389324E+07	r''= -1.614062E+22	th= 1.998590E+00	th'= 8.065118E+14
t= 7.222499E-15	r= 6.620621E-08	r'= 4.367474E+07	r''= -1.622797E+22	th= 2.009381E+00	th'= 7.921751E+14
t= 7.229249E-15	r= 6.679434E-08	r'= 4.345515E+07	r''= -1.630287E+22	th= 2.019981E+00	th'= 7.782862E+14
t= 7.235999E-15	r= 6.737950E-08	r'= 4.323462E+07	r''= -1.636622E+22	th= 2.030397E+00	th'= 7.648268E+14
t= 7.242749E-15	r= 6.796167E-08	r'= 4.301331E+07	r''= -1.641890E+22	th= 2.040633E+00	th'= 7.517796E+14
t= 7.249499E-15	r= 6.854086E-08	r'= 4.279135E+07	r''= -1.646170E+22	th= 2.050696E+00	th'= 7.391279E+14
t= 7.256249E-15	r= 6.911704E-08	r'= 4.256888E+07	r''= -1.649534E+22	th= 2.060591E+00	th'= 7.268561E+14
t= 7.262999E-15	r= 6.969021E-08	r'= 4.234601E+07	r''= -1.652053E+22	th= 2.070323E+00	th'= 7.149490E+14
t= 7.269749E-15	r= 7.026038E-08	r'= 4.212286E+07	r''= -1.653789E+22	th= 2.079897E+00	th'= 7.033924E+14
t= 7.276499E-15	r= 7.082753E-08	r'= 4.189952E+07	r''= -1.654802E+22	th= 2.089316E+00	th'= 6.921726E+14
t= 7.283249E-15	r= 7.139167E-08	r'= 4.167610E+07	r''= -1.655145E+22	th= 2.098587E+00	th'= 6.812768E+14
t= 7.289999E-15	r= 7.195279E-08	r'= 4.145266E+07	r''= -1.654869E+22	th= 2.107712E+00	th'= 6.706924E+14
t= 7.296749E-15	r= 7.251089E-08	r'= 4.122931E+07	r''= -1.654022E+22	th= 2.116697E+00	th'= 6.604077E+14
t= 7.303499E-15	r= 7.306598E-08	r'= 4.100610E+07	r''= -1.652648E+22	th= 2.125545E+00	th'= 6.504115E+14
t= 7.310249E-15	r= 7.361805E-08	r'= 4.078311E+07	r''= -1.650787E+22	th= 2.134259E+00	th'= 6.406929E+14
t= 7.316999E-15	r= 7.416712E-08	r'= 4.056041E+07	r''= -1.648477E+22	th= 2.142844E+00	th'= 6.312418E+14
t= 7.323749E-15	r= 7.471319E-08	r'= 4.033804E+07	r''= -1.645754E+22	th= 2.151304E+00	th'= 6.220482E+14
t= 7.330499E-15	r= 7.525625E-08	r'= 4.011607E+07	r''= -1.642649E+22	th= 2.159641E+00	th'= 6.131029E+14
t= 7.337249E-15	r= 7.579632E-08	r'= 3.989454E+07	r''= -1.639194E+22	th= 2.167859E+00	th'= 6.043970E+14
t= 7.343999E-15	r= 7.633341E-08	r'= 3.967350E+07	r''= -1.635416E+22	th= 2.175961E+00	th'= 5.959218E+14
t= 7.350749E-15	r= 7.686751E-08	r'= 3.945299E+07	r''= -1.631343E+22	th= 2.183950E+00	th'= 5.876692E+14
t= 7.357499E-15	r= 7.739864E-08	r'= 3.923305E+07	r''= -1.626998E+22	th= 2.191829E+00	th'= 5.796314E+14
t= 7.364249E-15	r= 7.792681E-08	r'= 3.901372E+07	r''= -1.622404E+22	th= 2.199601E+00	th'= 5.718008E+14
t= 7.370999E-15	r= 7.845201E-08	r'= 3.879501E+07	r''= -1.617584E+22	th= 2.207268E+00	th'= 5.641705E+14
t= 7.377749E-15	r= 7.897427E-08	r'= 3.857698E+07	r''= -1.612555E+22	th= 2.214834E+00	th'= 5.567334E+14
t= 7.384499E-15	r= 7.949360E-08	r'= 3.835963E+07	r''= -1.607338E+22	th= 2.222301E+00	th'= 5.494830E+14
t= 7.391249E-15	r= 8.000999E-08	r'= 3.814300E+07	r''= -1.601949E+22	th= 2.229671E+00	th'= 5.424130E+14
t= 7.397999E-15	r= 8.052346E-08	r'= 3.792711E+07	r''= -1.596403E+22	th= 2.236947E+00	th'= 5.355175E+14
t= 7.404749E-15	r= 8.103402E-08	r'= 3.771198E+07	r''= -1.590717E+22	th= 2.244131E+00	th'= 5.287906E+14
t= 7.411499E-15	r= 8.154169E-08	r'= 3.749763E+07	r''= -1.584903E+22	th= 2.251225E+00	th'= 5.222267E+14
t= 7.418249E-15	r= 8.204646E-08	r'= 3.728406E+07	r''= -1.578975E+22	th= 2.258232E+00	th'= 5.158207E+14
t= 7.424999E-15	r= 8.254836E-08	r'= 3.707131E+07	r''= -1.572945E+22	th= 2.265153E+00	th'= 5.095673E+14
t= 7.431749E-15	r= 8.304739E-08	r'= 3.685937E+07	r''= -1.566824E+22	th= 2.271991E+00	th'= 5.034618E+14
t= 7.438499E-15	r= 8.354357E-08	r'= 3.664827E+07	r''= -1.560622E+22	th= 2.278747E+00	th'= 4.974993E+14
t= 7.445249E-15	r= 8.403690E-08	r'= 3.643801E+07	r''= -1.554349E+22	th= 2.285424E+00	th'= 4.916754E+14
t= 7.451999E-15	r= 8.452740E-08	r'= 3.622860E+07	r''= -1.548014E+22	th= 2.292023E+00	th'= 4.859857E+14
t= 7.458749E-15	r= 8.501508E-08	r'= 3.602005E+07	r''= -1.541626E+22	th= 2.298546E+00	th'= 4.804261E+14
t= 7.465499E-15	r= 8.549994E-08	r'= 3.581236E+07	r''= -1.535192E+22	th= 2.304995E+00	th'= 4.749926E+14
t= 7.472249E-15	r= 8.598201E-08	r'= 3.560555E+07	r''= -1.528721E+22	th= 2.311371E+00	th'= 4.696813E+14
t= 7.478999E-15	r= 8.646130E-08	r'= 3.539961E+07	r''= -1.522217E+22	th= 2.317677E+00	th'= 4.644885E+14
t= 7.485749E-15	r= 8.693781E-08	r'= 3.519455E+07	r''= -1.515689E+22	th= 2.323913E+00	th'= 4.594107E+14
t= 7.492499E-15	r= 8.741155E-08	r'= 3.499037E+07	r''= -1.509141E+22	th= 2.330081E+00	th'= 4.544444E+14
t= 7.499249E-15	r= 8.788255E-08	r'= 3.478708E+07	r''= -1.502580E+22	th= 2.336183E+00	th'= 4.495864E+14
t= 7.505999E-15	r= 8.835081E-08	r'= 3.458468E+07	r''= -1.496010E+22	th= 2.342221E+00	th'= 4.448334E+14
t= 7.512749E-15	r= 8.881634E-08	r'= 3.438316E+07	r''= -1.489436E+22	th= 2.348194E+00	th'= 4.401824E+14
t= 7.519499E-15	r= 8.927916E-08	r'= 3.418253E+07	r''= -1.482862E+22	th= 2.354106E+00	th'= 4.356305E+14
t= 7.526249E-15	r= 8.973927E-08	r'= 3.398278E+07	r''= -1.476293E+22	th= 2.359957E+00	th'= 4.311748E+14
t= 7.532999E-15	r= 9.019670E-08	r'= 3.378393E+07	r''= -1.469733E+22	th= 2.365748E+00	th'= 4.268125E+14
t= 7.539749E-15	r= 9.065144E-08	r'= 3.358596E+07	r''= -1.463184E+22	th= 2.371481E+00	th'= 4.225411E+14
t= 7.546499E-15	r= 9.110352E-08	r'= 3.338887E+07	r''= -1.456651E+22	th= 2.377157E+00	th'= 4.183580E+14
t= 7.553249E-15	r= 9.155295E-08	r'= 3.319266E+07	r''= -1.450135E+22	th= 2.382777E+00	th'= 4.142607E+14
t= 7.559999E-15	r= 9.199973E-08	r'= 3.299733E+07	r''= -1.443641E+22	th= 2.388343E+00	th'= 4.102469E+14
t= 7.566749E-15	r= 9.244388E-08	r'= 3.280288E+07	r''= -1.437170E+22	th= 2.393854E+00	th'= 4.063143E+14
t= 7.573499E-15	r= 9.288541E-08	r'= 3.260929E+07	r''= -1.430725E+22	th= 2.399313E+00	th'= 4.024606E+14
t= 7.580249E-15	r= 9.332434E-08	r'= 3.241658E+07	r''= -1.424308E+22	th= 2.404721E+00	th'= 3.986838E+14
t= 7.586999E-15	r= 9.376066E-08	r'= 3.222473E+07	r''= -1.417922E+22	th= 2.410078E+00	th'= 3.949818E+14
t= 7.593749E-15	r= 9.419441E-08	r'= 3.203374E+07	r''= -1.411567E+22	th= 2.415386E+00	th'= 3.913526E+14
t= 7.600499E-15	r= 9.462558E-08	r'= 3.184360E+07	r''= -1.405246E+22	th= 2.420645E+00	th'= 3.877942E+14
t= 7.607249E-15	r= 9.505419E-08	r'= 3.165432E+07	r''= -1.398961E+22	th= 2.425857E+00	th'= 3.843049E+14
t= 7.613999E-15	r= 9.548025E-08	r'= 3.146588E+07	r''= -1.392712E+22	th= 2.431022E+00	th'= 3.808828E+14
t= 7.620749E-15	r= 9.590377E-08	r'= 3.127829E+07	r''= -1.386502E+22	th= 2.436141E+00	th'= 3.775261E+14
t= 7.627499E-15	r= 9.632477E-08	r'= 3.109153E+07	r''= -1.380330E+22	th= 2.441215E+00	th'= 3.742333E+14
t= 7.634249E-15	r= 9.674325E-08	r'= 3.090559E+07	r''= -1.374200E+22	th= 2.446245E+00	th'= 3.710027E+14
t= 7.640999E-15	r= 9.715922E-08	r'= 3.072049E+07	r''= -1.368110E+22	th= 2.451232E+00	th'= 3.678327E+14
t= 7.647749E-15	r= 9.757270E-08	r'= 3.053620E+07	r''= -1.362063E+22	th= 2.456177E+00	th'= 3.647218E+14
t= 7.654499E-15	r= 9.798370E-08	r'= 3.035273E+07	r''= -1.356059E+22	th= 2.461080E+00	th'= 3.616685E+14
t= 7.661249E-15	r= 9.839223E-08	r'= 3.017006E+07	r''= -1.350099E+22	th= 2.465942E+00	th'= 3.586714E+14
t= 7.667999E-15	r= 9.879830E-08	r'= 2.998820E+07	r''= -1.344184E+22	th= 2.470765E+00	th'= 3.557291E+14
t= 7.674749E-15	r= 9.920192E-08	r'= 2.980713E+07	r''= -1.338313E+22	th= 2.475547E+00	th'= 3.528404E+14
t= 7.681499E-15	r= 9.960309E-08	r'= 2.962685E+07	r''= -1.332489E+22	th= 2.480292E+00	th'= 3.500038E+14
t= 7.688249E-15	r= 1.000018E-07	r'= 2.944736E+07	r''= -1.326710E+22	th= 2.484998E+00	th'= 3.472181E+14
t= 7.694999E-15	r= 1.003982E-07	r'= 2.926864E+07	r''= -1.320978E+22	th= 2.489667E+00	th'= 3.444821E+14
t= 7.701749E-15	r= 1.007921E-07	r'= 2.909069E+07	r''= -1.315292E+22	th= 2.494299E+00	th'= 3.417947E+14
t= 7.708499E-15	r= 1.011836E-07	r'= 2.891351E+07	r''= -1.309654E+22	th= 2.498895E+00	th'= 3.391547E+14
t= 7.715249E-15	r= 1.015728E-07	r'= 2.873708E+07	r''= -1.304063E+22	th= 2.503456E+00	th'= 3.365610E+14
t= 7.721999E-15	r= 1.019595E-07	r'= 2.856141E+07	r''= -1.298520E+22	th= 2.507983E+00	th'= 3.340125E+14
t= 7.728749E-15	r= 1.023439E-07	r'= 2.838648E+07	r''= -1.293024E+22	th= 2.512475E+00	th'= 3.315081E+14
t= 7.735499E-15	r= 1.027260E-07	r'= 2.821229E+07	r''= -1.287576E+22	th= 2.516934E+00	th'= 3.290469E+14
t= 7.742249E-15	r= 1.031057E-07	r'= 2.803883E+07	r''= -1.282176E+22	th= 2.521359E+00	th'= 3.266279E+14
t= 7.748999E-15	r= 1.034830E-07	r'= 2.786610E+07	r''= -1.276824E+22	th= 2.525753E+00	th'= 3.242501E+14
t= 7.755749E-15	r= 1.038581E-07	r'= 2.769409E+07	r''= -1.271520E+22	th= 2.530114E+00	th'= 3.219126E+14
t= 7.762499E-15	r= 1.042308E-07	r'= 2.752279E+07	r''= -1.266264E+22	th= 2.534445E+00	th'= 3.196145E+14
t= 7.769249E-15	r= 1.046012E-07	r'= 2.735220E+07	r''= -1.261056E+22	th= 2.538744E+00	th'= 3.173549E+14
t= 7.775999E-15	r= 1.049693E-07	r'= 2.718230E+07	r''= -1.255895E+22	th= 2.543013E+00	th'= 3.151330E+14
t= 7.782749E-15	r= 1.053351E-07	r'= 2.701310E+07	r''= -1.250782E+22	th= 2.547253E+00	th'= 3.129479E+14
t= 7.789499E-15	r= 1.056986E-07	r'= 2.684459E+07	r''= -1.245717E+22	th= 2.551463E+00	th'= 3.107990E+14
t= 7.796249E-15	r= 1.060599E-07	r'= 2.667676E+07	r''= -1.240699E+22	th= 2.555645E+00	th'= 3.086852E+14
t= 7.802999E-15	r= 1.064189E-07	r'= 2.650960E+07	r''= -1.235728E+22	th= 2.559798E+00	th'= 3.066060E+14
t= 7.809749E-15	r= 1.067757E-07	r'= 2.634311E+07	r''= -1.230805E+22	th= 2.563923E+00	th'= 3.045606E+14
t= 7.816499E-15	r= 1.071302E-07	r'= 2.617728E+07	r''= -1.225928E+22	th= 2.568021E+00	th'= 3.025482E+14
t= 7.823249E-15	r= 1.074825E-07	r'= 2.601210E+07	r''= -1.221098E+22	th= 2.572092E+00	th'= 3.005683E+14
t= 7.829999E-15	r= 1.078325E-07	r'= 2.584758E+07	r''= -1.216315E+22	th= 2.576136E+00	th'= 2.986200E+14
t= 7.836749E-15	r= 1.081803E-07	r'= 2.568370E+07	r''= -1.211578E+22	th= 2.580155E+00	th'= 2.967028E+14
t= 7.843499E-15	r= 1.085260E-07	r'= 2.552045E+07	r''= -1.206887E+22	th= 2.584148E+00	th'= 2.948159E+14
t= 7.850249E-15	r= 1.088694E-07	r'= 2.535784E+07	r''= -1.202241E+22	th= 2.588115E+00	th'= 2.929589E+14
t= 7.856999E-15	r= 1.092106E-07	r'= 2.519584E+07	r''= -1.197641E+22	th= 2.592058E+00	th'= 2.911310E+14
t= 7.863749E-15	r= 1.095497E-07	r'= 2.503447E+07	r''= -1.193086E+22	th= 2.595976E+00	th'= 2.893317E+14
t= 7.870499E-15	r= 1.098866E-07	r'= 2.487371E+07	r''= -1.188577E+22	th= 2.599870E+00	th'= 2.875604E+14
t= 7.877249E-15	r= 1.102213E-07	r'= 2.471355E+07	r''= -1.184111E+22	th= 2.603740E+00	th'= 2.858165E+14
t= 7.883999E-15	r= 1.105538E-07	r'= 2.455400E+07	r''= -1.179690E+22	th= 2.607587E+00	th'= 2.840996E+14
