t= 7.067249E-15	r= 6.722783E-08	r'= 6.530944E+07	r''= -5.162330E+22	th= 2.828389E+00	th'= 2.560941E+14
t= 7.073999E-15	r= 6.810484E-08	r'= 6.462114E+07	r''= -5.035764E+22	th= 2.831802E+00	th'= 2.495409E+14
t= 7.080749E-15	r= 6.897267E-08	r'= 6.394952E+07	r''= -4.915041E+22	th= 2.835128E+00	th'= 2.433008E+14
t= 7.087499E-15	r= 6.983155E-08	r'= 6.329383E+07	r''= -4.799780E+22	th= 2.838372E+00	th'= 2.373528E+14
t= 7.094249E-15	r= 7.068167E-08	r'= 6.265335E+07	r''= -4.689634E+22	th= 2.841538E+00	th'= 2.316776E+14
t= 7.100999E-15	r= 7.152325E-08	r'= 6.202741E+07	r''= -4.584281E+22	th= 2.844629E+00	th'= 2.262575E+14
t= 7.107749E-15	r= 7.235648E-08	r'= 6.141539E+07	r''= -4.483428E+22	th= 2.847648E+00	th'= 2.210766E+14
t= 7.114499E-15	r= 7.318153E-08	r'= 6.081670E+07	r''= -4.386802E+22	th= 2.850599E+00	th'= 2.161198E+14
t= 7.121249E-15	r= 7.399859E-08	r'= 6.023078E+07	r''= -4.294154E+22	th= 2.853484E+00	th'= 2.113736E+14
t= 7.127999E-15	r= 7.480782E-08	r'= 5.965711E+07	r''= -4.205252E+22	th= 2.856307E+00	th'= 2.068253E+14
t= 7.134749E-15	r= 7.560938E-08	r'= 5.909520E+07	r''= -4.119883E+22	th= 2.859069E+00	th'= 2.024632E+14
t= 7.141499E-15	r= 7.640344E-08	r'= 5.854459E+07	r''= -4.037847E+22	th= 2.861774E+00	th'= 1.982767E+14
t= 7.148249E-15	r= 7.719014E-08	r'= 5.800484E+07	r''= -3.958960E+22	th= 2.864424E+00	th'= 1.942558E+14
t= 7.154999E-15	r= 7.796962E-08	r'= 5.747553E+07	r''= -3.883052E+22	th= 2.867020E+00	th'= 1.903911E+14
t= 7.161749E-15	r= 7.874202E-08	r'= 5.695628E+07	r''= -3.809964E+22	th= 2.869565E+00	th'= 1.866742E+14
t= 7.168499E-15	r= 7.950748E-08	r'= 5.644672E+07	r''= -3.739547E+22	th= 2.872061E+00	th'= 1.830971E+14
t= 7.175249E-15	r= 8.026612E-08	r'= 5.594649E+07	r''= -3.671664E+22	th= 2.874509E+00	th'= 1.796523E+14
t= 7.181999E-15	r= 8.101808E-08	r'= 5.545526E+07	r''= -3.606184E+22	th= 2.876912E+00	th'= 1.763330E+14
t= 7.188749E-15	r= 8.176346E-08	r'= 5.497272E+07	r''= -3.542989E+22	th= 2.879270E+00	th'= 1.731326E+14
t= 7.195499E-15	r= 8.250238E-08	r'= 5.449856E+07	r''= -3.481964E+22	th= 2.881587E+00	th'= 1.700452E+14
t= 7.202249E-15	r= 8.323495E-08	r'= 5.403250E+07	r''= -3.423005E+22	th= 2.883862E+00	th'= 1.670652E+14
t= 7.208999E-15	r= 8.396129E-08	r'= 5.357426E+07	r''= -3.366012E+22	th= 2.886098E+00	th'= 1.641872E+14
t= 7.215749E-15	r= 8.468149E-08	r'= 5.312359E+07	r''= -3.310893E+22	th= 2.888296E+00	th'= 1.614063E+14
