t= 6.756749E-15	r= 1.149355E-08	r'= 2.259717E+07	r''= 1.612296E+24	th= 2.408345E-01	th'= 1.752349E+16
t= 6.763499E-15	r= 1.193906E-08	r'= 4.286233E+07	r''= 1.372170E+24	th= 4.694657E-01	th'= 1.624014E+16
t= 6.770249E-15	r= 1.263373E-08	r'= 5.937306E+07	r''= 1.070801E+24	th= 6.772825E-01	th'= 1.450332E+16
t= 6.776999E-15	r= 1.352379E-08	r'= 7.183637E+07	r''= 7.818617E+23	th= 8.605855E-01	th'= 1.265711E+16
t= 6.783749E-15	r= 1.455711E-08	r'= 8.070928E+07	r''= 5.420722E+23	th= 1.019554E+00	th'= 1.092399E+16
t= 6.790499E-15	r= 1.569009E-08	r'= 8.672813E+07	r''= 3.586356E+23	th= 1.156502E+00	th'= 9.403305E+15
t= 6.797249E-15	r= 1.688919E-08	r'= 9.061497E+07	r''= 2.245100E+23	th= 1.274498E+00	th'= 8.115471E+15
t= 6.803999E-15	r= 1.812979E-08	r'= 9.296263E+07	r''= 1.287805E+23	th= 1.376591E+00	th'= 7.042805E+15
t= 6.810749E-15	r= 1.939429E-08	r'= 9.421891E+07	r''= 6.130044E+22	th= 1.465484E+00	th'= 6.154366E+15
t= 6.817499E-15	r= 2.067027E-08	r'= 9.470849E+07	r''= 1.404588E+22	th= 1.543444E+00	th'= 5.417997E+15
t= 6.824249E-15	r= 2.194902E-08	r'= 9.466235E+07	r''= -1.889432E+22	th= 1.612325E+00	th'= 4.805078E+15
t= 6.830999E-15	r= 2.322448E-08	r'= 9.424364E+07	r''= -4.173441E+22	th= 1.673629E+00	th'= 4.291789E+15
t= 6.837749E-15	r= 2.449244E-08	r'= 9.356753E+07	r''= -5.743749E+22	th= 1.728565E+00	th'= 3.858922E+15
t= 6.844499E-15	r= 2.575002E-08	r'= 9.271552E+07	r''= -6.807910E+22	th= 1.778113E+00	th'= 3.491202E+15
t= 6.851249E-15	r= 2.699523E-08	r'= 9.174556E+07	r''= -7.511572E+22	th= 1.823067E+00	th'= 3.176549E+15
t= 6.857999E-15	r= 2.822680E-08	r'= 9.069896E+07	r''= -7.957428E+22	th= 1.864076E+00	th'= 2.905402E+15
t= 6.864749E-15	r= 2.944390E-08	r'= 8.960535E+07	r''= -8.218344E+22	th= 1.901674E+00	th'= 2.670170E+15
t= 6.871499E-15	r= 3.064603E-08	r'= 8.848597E+07	r''= -8.346372E+22	th= 1.936305E+00	th'= 2.464795E+15
t= 6.878249E-15	r= 3.183297E-08	r'= 8.735611E+07	r''= -8.378959E+22	th= 1.968336E+00	th'= 2.284414E+15
t= 6.884999E-15	r= 3.300465E-08	r'= 8.622672E+07	r''= -8.343212E+22	th= 1.998079E+00	th'= 2.125097E+15
t= 6.891749E-15	r= 3.416113E-08	r'= 8.510562E+07	r''= -8.258877E+22	th= 2.025794E+00	th'= 1.983647E+15
t= 6.898499E-15	r= 3.530257E-08	r'= 8.399835E+07	r''= -8.140407E+22	th= 2.051706E+00	th'= 1.857447E+15
t= 6.905249E-15	r= 3.642917E-08	r'= 8.290876E+07	r''= -7.998424E+22	th= 2.076004E+00	th'= 1.744337E+15
t= 6.911999E-15	r= 3.754120E-08	r'= 8.183948E+07	r''= -7.840760E+22	th= 2.098854E+00	th'= 1.642527E+15
t= 6.918749E-15	r= 3.863894E-08	r'= 8.079220E+07	r''= -7.673199E+22	th= 2.120397E+00	th'= 1.550523E+15
t= 6.925499E-15	r= 3.972269E-08	r'= 7.976796E+07	r''= -7.500011E+22	th= 2.140757E+00	th'= 1.467071E+15
t= 6.932249E-15	r= 4.079278E-08	r'= 7.876730E+07	r''= -7.324347E+22	th= 2.160041E+00	th'= 1.391112E+15
t= 6.938999E-15	r= 4.184952E-08	r'= 7.779039E+07	r''= -7.148518E+22	th= 2.178346E+00	th'= 1.321745E+15
t= 6.945749E-15	r= 4.289323E-08	r'= 7.683713E+07	r''= -6.974211E+22	th= 2.195755E+00	th'= 1.258204E+15
t= 6.952499E-15	r= 4.392422E-08	r'= 7.590723E+07	r''= -6.802641E+22	th= 2.212341E+00	th'= 1.199831E+15
t= 6.959249E-15	r= 4.494283E-08	r'= 7.500026E+07	r''= -6.634670E+22	th= 2.228171E+00	th'= 1.146061E+15
t= 6.965999E-15	r= 4.594933E-08	r'= 7.411568E+07	r''= -6.470893E+22	th= 2.243303E+00	th'= 1.096402E+15
t= 6.972749E-15	r= 4.694405E-08	r'= 7.325291E+07	r''= -6.311702E+22	th= 2.257790E+00	th'= 1.050430E+15
t= 6.979499E-15	r= 4.792726E-08	r'= 7.241130E+07	r''= -6.157340E+22	th= 2.271680E+00	th'= 1.007774E+15
t= 6.986249E-15	r= 4.889925E-08	r'= 7.159020E+07	r''= -6.007934E+22	th= 2.285014E+00	th'= 9.681080E+14
t= 6.992999E-15	r= 4.986028E-08	r'= 7.078893E+07	r''= -5.863527E+22	th= 2.297831E+00	th'= 9.311477E+14
t= 6.999749E-15	r= 5.081063E-08	r'= 7.000682E+07	r''= -5.724099E+22	th= 2.310166E+00	th'= 8.966415E+14
t= 7.006499E-15	r= 5.175055E-08	r'= 6.924320E+07	r''= -5.589582E+22	th= 2.322050E+00	th'= 8.643667E+14
t= 7.013249E-15	r= 5.268028E-08	r'= 6.849742E+07	r''= -5.459876E+22	th= 2.333513E+00	th'= 8.341263E+14
t= 7.019999E-15	r= 5.360006E-08	r'= 6.776882E+07	r''= -5.334857E+22	th= 2.344580E+00	th'= 8.057446E+14
t= 7.026749E-15	r= 5.451012E-08	r'= 6.705680E+07	r''= -5.214384E+22	th= 2.355276E+00	th'= 7.790650E+14
t= 7.033499E-15	r= 5.541067E-08	r'= 6.636074E+07	r''= -5.098305E+22	th= 2.365622E+00	th'= 7.539476E+14
t= 7.040249E-15	r= 5.630192E-08	r'= 6.568007E+07	r''= -4.986465E+22	th= 2.375639E+00	th'= 7.302665E+14
t= 7.046999E-15	r= 5.718410E-08	r'= 6.501421E+07	r''= -4.878701E+22	th= 2.385345E+00	th'= 7.079088E+14
t= 7.053749E-15	r= 5.805737E-08	r'= 6.436264E+07	r''= -4.774855E+22	th= 2.394758E+00	th'= 6.867727E+14
t= 7.060499E-15	r= 5.892195E-08	r'= 6.372483E+07	r''= -4.674767E+22	th= 2.403893E+00	th'= 6.667662E+14
t= 7.067249E-15	r= 5.977800E-08	r'= 6.310029E+07	r''= -4.578281E+22	th= 2.412765E+00	th'= 6.478060E+14
t= 7.073999E-15	r= 6.062572E-08	r'= 6.248854E+07	r''= -4.485246E+22	th= 2.421388E+00	th'= 6.298164E+14
t= 7.080749E-15	r= 6.146525E-08	r'= 6.188912E+07	r''= -4.395512E+22	th= 2.429774E+00	th'= 6.127290E+14
t= 7.087499E-15	r= 6.229678E-08	r'= 6.130161E+07	r''= -4.308939E+22	th= 2.437936E+00	th'= 5.964809E+14
t= 7.094249E-15	r= 6.312045E-08	r'= 6.072557E+07	r''= -4.225390E+22	th= 2.445883E+00	th'= 5.810153E+14
t= 7.100999E-15	r= 6.393642E-08	r'= 6.016062E+07	r''= -4.144731E+22	th= 2.453626E+00	th'= 5.662798E+14
t= 7.107749E-15	r= 6.474483E-08	r'= 5.960637E+07	r''= -4.066838E+22	th= 2.461176E+00	th'= 5.522267E+14
t= 7.114499E-15	r= 6.554584E-08	r'= 5.906245E+07	r''= -3.991590E+22	th= 2.468539E+00	th'= 5.388122E+14
t= 7.121249E-15	r= 6.633956E-08	r'= 5.852853E+07	r''= -3.918871E+22	th= 2.475726E+00	th'= 5.259959E+14
t= 7.127999E-15	r= 6.712615E-08	r'= 5.800425E+07	r''= -3.848573E+22	th= 2.482744E+00	th'= 5.137409E+14
t= 7.134749E-15	r= 6.790572E-08	r'= 5.748931E+07	r''= -3.780590E+22	th= 2.489600E+00	th'= 5.020129E+14
t= 7.141499E-15	r= 6.867840E-08	r'= 5.698339E+07	r''= -3.714822E+22	th= 2.496300E+00	th'= 4.907804E+14
t= 7.148249E-15	r= 6.944431E-08	r'= 5.648621E+07	r''= -3.651176E+22	th= 2.502853E+00	th'= 4.800143E+14
t= 7.154999E-15	r= 7.020357E-08	r'= 5.599748E+07	r''= -3.589560E+22	th= 2.509263E+00	th'= 4.696877E+14
t= 7.161749E-15	r= 7.095628E-08	r'= 5.551694E+07	r''= -3.529890E+22	th= 2.515536E+00	th'= 4.597755E+14
t= 7.168499E-15	r= 7.170256E-08	r'= 5.504433E+07	r''= -3.472082E+22	th= 2.521679E+00	th'= 4.502546E+14
t= 7.175249E-15	r= 7.244251E-08	r'= 5.457940E+07	r''= -3.416060E+22	th= 2.527695E+00	th'= 4.411035E+14
t= 7.181999E-15	r= 7.317624E-08	r'= 5.412191E+07	r''= -3.361750E+22	th= 2.533590E+00	th'= 4.323021E+14
t= 7.188749E-15	r= 7.390384E-08	r'= 5.367165E+07	r''= -3.309082E+22	th= 2.539368E+00	th'= 4.238318E+14
t= 7.195499E-15	r= 7.462541E-08	r'= 5.322839E+07	r''= -3.257988E+22	th= 2.545035E+00	th'= 4.156751E+14
t= 7.202249E-15	r= 7.534104E-08	r'= 5.279192E+07	r''= -3.208405E+22	th= 2.550593E+00	th'= 4.078160E+14
t= 7.208999E-15	r= 7.605082E-08	r'= 5.236205E+07	r''= -3.160274E+22	th= 2.556047E+00	th'= 4.002392E+14
t= 7.215749E-15	r= 7.675484E-08	r'= 5.193859E+07	r''= -3.113536E+22	th= 2.561401E+00	th'= 3.929306E+14
t= 7.222499E-15	r= 7.745319E-08	r'= 5.152134E+07	r''= -3.068136E+22	th= 2.566657E+00	th'= 3.858769E+14
t= 7.229249E-15	r= 7.814594E-08	r'= 5.111013E+07	r''= -3.024023E+22	th= 2.571820E+00	th'= 3.790657E+14
t= 7.235999E-15	r= 7.883319E-08	r'= 5.070480E+07	r''= -2.981147E+22	th= 2.576893E+00	th'= 3.724854E+14
t= 7.242749E-15	r= 7.951500E-08	r'= 5.030517E+07	r''= -2.939460E+22	th= 2.581879E+00	th'= 3.661249E+14
t= 7.249499E-15	r= 8.019145E-08	r'= 4.991109E+07	r''= -2.898918E+22	th= 2.586780E+00	th'= 3.599741E+14
t= 7.256249E-15	r= 8.086262E-08	r'= 4.952241E+07	r''= -2.859477E+22	th= 2.591599E+00	th'= 3.540232E+14
t= 7.262999E-15	r= 8.152858E-08	r'= 4.913898E+07	r''= -2.821097E+22	th= 2.596339E+00	th'= 3.482632E+14
t= 7.269749E-15	r= 8.218940E-08	r'= 4.876067E+07	r''= -2.783738E+22	th= 2.601003E+00	th'= 3.426855E+14
t= 7.276499E-15	r= 8.284514E-08	r'= 4.838733E+07	r''= -2.747363E+22	th= 2.605592E+00	th'= 3.372821E+14
